,comment_text,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE_OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE_OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
17,Vale la pena ir y probar sus carnes.,0,0,0,0,0,1,0,0,1,0,0,0
18,"El restaurante es precioso, moderno y acogedor.",1,0,0,0,0,0,0,0,0,0,0,0
19,La comida está deliciosa y es de calidad.,0,0,0,0,0,1,0,0,0,0,0,0
20,El servicio muy atento.,0,0,0,0,0,0,0,0,0,0,0,1
21,Hemos ido varias veces a cenar al 9reinas y nunca defrauda!,0,0,0,0,0,0,0,0,1,0,0,0
22,La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!,0,0,1,0,0,1,0,0,0,0,0,1
23,Sin duda repetiremos.,0,0,0,0,0,0,0,0,1,0,0,0
24,restaurante excelente con carne de alta calidad.,0,0,0,0,0,1,0,0,1,0,0,0
25,Nos encanto!,0,0,0,0,0,0,0,0,1,0,0,0
26,"La verdad es que todo muy bien; el servicio, la comida y la apariencia, todo correcto.",1,0,0,0,0,1,0,0,1,0,0,1
27,Hemos ido a cenar y la verdad es que nos ha encantado.,0,0,0,0,0,0,0,0,1,0,0,0
28,el sitio es muy bonito la comida estupenda y el trato inmejorable.,1,0,0,0,0,1,0,0,0,0,0,1
29,totalmente recomendable,0,0,0,0,0,0,0,0,1,0,0,0
30,"Ha sido todo excelente, la calidad, los tiempos, el ambiente (quizas demasiado iluminado) y el servicio.",1,0,0,0,0,1,0,0,1,0,0,1
31,El dulce de leche es divino.,0,0,0,0,0,1,0,0,0,0,0,0
32,Primera visita a este Restaurante con resultado satisfactorio.,0,0,0,0,0,0,0,0,1,0,0,0
33,"Calidad, profesionalidad y precio acorde con la oferta.",0,0,0,0,0,1,0,0,0,0,1,1
34,Casi como en Argentina.,0,0,0,0,0,0,0,0,1,0,0,0
35,Fantastico!!!,0,0,0,0,0,0,0,0,1,0,0,0
36,Delicioso!!!,0,0,0,0,0,0,0,0,1,0,0,0
37,resaturante fantástico con excelente comida y servicio aun mejor!!!!,0,0,0,0,0,1,0,0,1,0,0,1
38,"tremenda amabilidad, es un gustazo!",0,0,0,0,0,0,0,0,1,0,0,1
39,"Servicio muy bueno, faltan platitos para el pan, pero a pesar de eso, todo correcto.",0,0,0,0,0,0,0,0,0,0,0,1
40,Estaria bien musica argentina.,1,0,0,0,0,0,0,0,0,0,0,0
41,Los precios estan dentro de los parametros normales.,0,0,0,0,0,0,0,0,0,0,1,0
42,Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.,0,0,0,0,0,1,0,0,0,0,0,1
43,Enhorabuena!!,0,0,0,0,0,0,0,0,1,0,0,0
44,"Un buen restaurant, aunque algo caro para la cantidad de comida que se sirve en el plato.",0,0,0,0,1,0,0,0,1,0,0,0
45,"La tira de asado normal, nada extraordinaria.",0,0,0,0,0,1,0,0,0,0,0,0
46,Muy bien los postres y el matambre.,0,0,0,0,0,1,0,0,0,0,0,0
47,"Se podria mejorar la iluminación en la planta superior, demasiada luz plana.",1,0,0,0,0,0,0,0,0,0,0,0
48,Recomendable 100%.,0,0,0,0,0,0,0,0,1,0,0,0
49,"Un sitio precioso, con un ambiente exquisito.",1,0,0,0,0,0,0,0,0,0,0,0
50,El servicio inmejorable y la comida excepcional!!,0,0,0,0,0,1,0,0,0,0,0,1
51,Exquisitas las ensaladas y la carne.,0,0,0,0,0,1,0,0,0,0,0,0
52,Abundante comida.,0,0,0,0,0,0,1,0,0,0,0,0
53,Seguro que no te quedas con hambre y la claidad excelente.,0,0,0,0,0,1,0,0,0,0,0,0
54,La calidad de las carnes es insuperable y quiero destacar el excelente servicio recibido.,0,0,0,0,0,1,0,0,0,0,0,1
55,Si no has probado sus carnes te estas perdiendo algo muy grande!,0,0,0,0,0,1,0,0,0,0,0,0
56,Estuve cenando con unos amigos y la comida estuvo riquísima y el trato de las camareras excelente.,0,0,0,0,0,1,0,0,0,0,0,1
57,Repetiremos seguro!!,0,0,0,0,0,0,0,0,1,0,0,0
58,Lo mejor: dejarse aconsejar por ellos a la hora de elegir plato.,0,0,0,0,0,0,0,0,0,0,0,1
59,Me encanto!!!,0,0,0,0,0,0,0,0,1,0,0,0
60,Sobran las palabras...volveré seguro!,0,0,0,0,0,0,0,0,1,0,0,0
61,El restaurants comimos muy bien y ademas un servicio encantador y eficiente.,0,0,0,0,0,1,0,0,0,0,0,1
62,"Tomamos Vacío y Entrañas (especialidades conocidas, entre otras cosas, por lo blando de su carne).",0,0,0,0,0,0,0,0,0,0,0,0
63,"En algunos momentos, nos llegamos a preguntar si lo que teníamos en la boca era carne o un trozo de neumático.",0,0,0,0,0,1,0,0,0,0,0,0
64,Decepcionante...,0,0,0,0,0,0,0,0,1,0,0,0
65,"La calidad de la comida excelente, el servicio super amable y siempre atento.",0,0,0,0,0,1,0,0,0,0,0,1
66,El ambiente muy acogedor.,1,0,0,0,0,0,0,0,0,0,0,0
67,Una experiencia culinaria inolvidable.,0,0,0,0,0,0,0,0,1,0,0,0
68,Comida y Servicio estupendo,0,0,0,0,0,1,0,0,0,0,0,1
69,Todo muy bueno,0,0,0,0,0,0,0,0,1,0,0,0
70,"ambiente íntimo y tranquilo, buen trato y buena calidad en las carnes.",1,0,0,0,0,1,0,0,0,0,0,1
71,El precio un tanto elevado pero razonable.,0,0,0,0,0,0,0,0,0,0,1,0
72,"Excelente carta, carnes exquisitas, especialidades riquísimas, ambiente íntimo y servicio atento.",1,0,0,0,0,1,1,0,0,0,0,1
73,Muy buena relación calidad-precio.,0,0,0,0,1,1,0,0,0,0,0,0
74,"Buen servicio, ambiente y excelente comida.",1,0,0,0,0,1,0,0,0,0,0,1
75,"La comida muy rica, pero el local extremadamente ruidoso (sobre todo el piso de arriba).",1,0,0,0,0,1,0,0,0,0,0,0
76,Llegaba un momento en que apetecía irse por el ruido.,1,0,0,0,0,0,0,0,0,0,0,0
77,Poca intimidad.,1,0,0,0,0,0,0,0,0,0,0,0
78,"Quizás bueno para cenas de grupo, pero parejas abstenerse.",0,0,0,0,0,0,0,0,1,0,0,0
79,"Local casi perfecto, cocina impecable, cantidad más que abundante, extensa carta (comida y vinos) y precio adecuado a lo que oferta.",1,0,0,1,0,1,1,0,0,0,1,0
80,"Muy recomendable, por tanto.",0,0,0,0,0,0,0,0,1,0,0,0
81,"Como salvedad, diré que, a excepción del jefe de sala (o propietario, cosa que desconozco), atento, educado y detallista, el resto del servicio, pinganillos inalámbricos incluidos, no está a la altura del resto, más en lo que respecta a educación y formas que a la capacidad: habría que cuidar aspectos como retirar casi a la carrera platos sin terminar, tutear por defecto u ofrecer el silencio como toda respuesta a la duda del comensal en la elección entre dos opciones.",0,0,0,0,0,0,0,0,0,0,0,1
82,"Es una pena que inviertiendo exitosamente en lo complicado (local, materia prima, imagen, sitio web) se pase por alto lo básico: un par de camareros díscolos que hagan rebajar la nota de un cliente de un excelente a un notable alto.",1,0,0,0,0,1,0,0,0,1,0,1
83,"Fue una cena perfecta, por el lugar y sobre todo por la comida.",1,0,0,0,0,1,0,0,0,0,0,0
84,Tienen una carta bastante extensa donde cada plato parece mejor que el anterior.,0,0,0,0,0,0,1,0,0,0,0,0
85,"Para los amantes de la carne no dudéis en pedir el Solomillo del Chef, exquisíto.",0,0,0,0,0,1,0,0,0,0,0,0
86,<->Aunque los productos sean de calidad el precio es elevado,0,0,0,0,1,1,0,0,0,0,0,0
87,<+>El local y su situación,0,0,0,0,0,0,0,0,0,0,0,0
88,Sólo puedo decir cosas buenas de este restaurante.,0,0,0,0,0,0,0,0,1,0,0,0
89,Comimos muy bien y bien atendidos.,0,0,0,0,0,1,0,0,0,0,0,1
90,Las gambas fresquísimas.,0,0,0,0,0,1,0,0,0,0,0,0
91,Una maravilla como está decorado.,1,0,0,0,0,0,0,0,0,0,0,0
92,Muy agradable y con unas vistas increíbles.,1,0,0,0,0,0,0,0,0,0,0,0
93,"De la comida no tengo nada que decir, pero las mesas se tocan, el servicio no es amable, en definitiva muy caro para lo que es calida precio totalmente desequilibrada.",1,0,0,0,0,1,0,0,0,0,1,1
94,He ido varias veces al restaurante.,0,0,0,0,0,0,0,0,0,0,0,0
95,La comida muy buena.,0,0,0,0,0,1,0,0,0,0,0,0
96,Lo que no me gusta es el servicio.,0,0,0,0,0,0,0,0,0,0,0,1
97,"El último día que fuimos pedimos ostras y nos sentaron mal, a parte de que el camarero que nos sirvió servía el cava chorreando toda la mesa...pasará mucho tiempo hasta q vuelva...",0,0,0,0,0,1,0,0,1,0,0,1
98,Fuimos un lunes noche de julio.,0,0,0,0,0,0,0,0,0,0,0,0
99,La única sonrisa que vimos entre el personal fue de la chica que nos condujo a nuestra mesa.,0,0,0,0,0,0,0,0,0,0,0,1
100,"A partir de ahi, caras serias (por no decir de mal humor), distraidas, de los camareros... que a veces se hacían esperar, y otras veces se abalanzaban para liquidar la mesa.",0,0,0,0,0,0,0,0,0,0,0,1
101,"Cubiertos mal puestos, sin la mas mínima delicadeza.",0,0,0,0,0,0,0,0,0,0,0,1
102,"Platos mal presentados, sobrevolando las cabezas de los comensales.",0,0,0,0,0,0,0,0,0,0,0,1
103,El servicio realmente malo.,0,0,0,0,0,0,0,0,0,0,0,1
104,"La comida decente, aunque en relación al precio no estaba a la altura.",0,0,0,0,1,1,0,0,0,0,0,0
105,"Lo siento, pero no lo recomiendo en tales condiciones.",0,0,0,0,0,0,0,0,1,0,0,0
106,Saludos,0,0,0,0,0,0,0,0,0,0,0,0
107,"Ya no es lo que era...Ramon,ha bajado mucho, el servicio, la calidad de la comida, lo unico, la terraza.",1,0,0,0,0,1,0,0,1,0,0,1
108,"Sabado pasado, a las 13h, poca gente, o sea,cocina sin agobios, paella,simplemente lamentable.",0,0,0,0,0,1,0,0,0,0,0,0
109,"Es una pena,era de lo mejorcito de Barcelona",0,0,0,0,0,0,0,0,1,0,0,0
110,Cena de negocio a más de 50 € pp y de primeros: longaniza de vic?,0,0,0,0,0,0,0,0,1,0,0,0
111,tal vez del Lidl; anchoas?,0,0,0,0,0,1,0,0,0,0,0,0
112,"una o dos pp; de segundo bacalao a la llauna diminuto con ""secas"" de lata / carne con patatas fritas fast food.",0,0,0,0,0,1,0,0,0,0,0,0
113,"por el precio podrían haber sido ""peladas y fritas"", no?",0,0,0,0,1,0,0,0,0,0,0,0
114,"en fin, lleno de turistas que vienen una sola vez (de los cruceros?)",1,0,0,0,0,0,0,0,0,0,0,0
115,sin importarles que el cliente vuelva de nuevo por ello.,0,0,0,0,0,0,0,0,0,0,0,0
116,muy defraudado por el precio y la calidad; antes no eran así!,0,0,0,0,0,1,0,0,1,0,1,0
117,Fue una cena para 4 en Sábado estaba lleno.,0,0,0,0,0,0,0,0,0,0,0,0
118,El servicio fue perfecto.,0,0,0,0,0,0,0,0,0,0,0,1
119,La cocina deliciosa.,0,0,0,0,0,1,0,0,0,0,0,0
120,A través de los años nunca me han defraudado es un valor seguro.,0,0,0,0,0,0,0,0,1,0,0,0
121,Coincido con los Datos de la ficha.,0,0,0,0,0,0,0,0,0,0,0,0
122,La relación calidad precio también es buena alrededor de 50 € por persona pero para una cena perfecta no lo considero caro.,0,0,0,0,0,0,0,0,0,0,1,0
123,"Arroz caldoso lamentable (para guiris, puede estar hasta bueno) y caro en general.",0,0,0,0,1,1,0,0,0,0,0,0
124,"Muy bueno, calidad, servicio que justifican su precio.",0,0,0,0,0,1,0,0,1,0,0,1
125,"Y de vulgar nada de nada, todo lo contrario.",0,0,0,0,0,0,0,0,1,0,0,0
126,Lo recomiendo a los que son capaces de apreciar y valorar el placer gastronómico.,0,0,0,0,0,1,0,0,0,0,0,0
127,"Personalmente este restaurante, ya por el servicio y la actitud de los camareros, del maitrê es excelente, creo que este restaurante se merece una estrella michelin, ya que se come muy bien, son unas grandes personas.",0,0,0,0,0,1,0,0,1,0,0,1
128,El local es bonito y la situación inmejorable.,1,0,0,0,0,0,0,1,0,0,0,0
129,Sin embargo el precio es muy alto y con el tiempo ha ido subiendo de forma espectacular sin que mejore el producto.,0,0,0,0,0,0,0,0,0,0,1,0
130,Yo no lo recomiendo.,0,0,0,0,0,0,0,0,1,0,0,0
131,Caro.,0,0,0,0,0,0,0,0,0,0,1,0
132,La comida siempre bien.,0,0,0,0,0,1,0,0,0,0,0,0
133,Si te toca cerca de los ventanales vistas de lujo.,1,0,0,0,0,0,0,0,0,0,0,0
134,Comida excelente asi como su el servicio de camarero.,0,0,0,0,0,1,0,0,0,0,0,1
135,Un tanto caótica la recepción.,0,0,0,0,0,0,0,0,0,0,0,1
136,"En cuanto a la carta, el tartar de lubina, supremo así como sus postres.",0,0,0,0,0,1,0,0,0,0,0,0
137,Volveremos.,0,0,0,0,0,0,0,0,1,0,0,0
138,gracias,0,0,0,0,0,0,0,0,1,0,0,0
139,Óptimo en la calidad del producto y su elaboración.,0,0,0,0,0,1,0,0,0,0,0,0
140,Servicio excelente.,0,0,0,0,0,0,0,0,0,0,0,1
141,Homogeneidad imbatible.,1,0,0,0,0,0,0,0,0,0,0,0
142,No se puede pedir más.,0,0,0,0,0,0,0,0,1,0,0,0
143,He visitado este restaurante cada vez que viajo a Barcelona y siempre ha sido excelso.,0,0,0,0,0,0,0,0,1,0,0,0
144,"No puedo más que recomendarlo ya que, sin duda, es uno de los valores más seguros de la Ciudad Condal.",0,0,0,0,0,0,0,0,1,0,0,0
145,Servicio impecable y se come de maravilla!,0,0,0,0,0,0,0,0,1,0,0,1
146,"Buen reestaurante, buena calidad en los platos.",0,0,0,0,0,1,0,0,1,0,0,0
147,El único defecto es que es muy ruidoso y en algunos lugares las mesas estan muy pegadas unas a otras y creo que por el precio que pagas  podrían tener las mesas mas separadas.,1,0,0,0,0,0,0,0,0,0,0,0
148,Buenisima la langosta a la plancha,0,0,0,0,0,1,0,0,0,0,0,0
149,Lugar perfecto.,0,0,0,0,0,0,0,0,1,0,0,0
150,Comida digna y servicio excelente.,0,0,0,0,0,1,0,0,0,0,0,1
151,Para ir y repetir.,0,0,0,0,0,0,0,0,1,0,0,0
152,excelemte cocina y excelente servicio,0,0,0,0,0,1,0,0,0,0,0,1
153,Es una pasada.,0,0,0,0,0,0,0,0,1,0,0,0
154,La atención y esmero del servicio y de su maitre son dignos de premio.,0,0,0,0,0,0,0,0,0,0,0,1
155,Un valor seguro.,0,0,0,0,0,0,0,0,1,0,0,0
156,Producto y cocina catalana y marinera de un muy buen nivel y servicio excelente.,0,0,0,0,0,1,0,0,0,0,0,1
157,Un restaurante muy homogéneo y que nunca defraudará.,0,0,0,0,0,0,0,0,1,0,0,0
158,"Repito cada vez que puedo, con la familia o con la empresa.",0,0,0,0,0,0,0,0,1,0,0,0
159,"La atención es exquisita y la comida (fideua,arroces y entrantes) de muy buena calidad.",0,0,0,0,0,1,0,0,0,0,0,1
160,El precio lo vale y el entorno más.,1,0,0,0,0,0,0,0,0,0,1,0
161,Muy recomendable.,0,0,0,0,0,0,0,0,1,0,0,0
162,No es nada barato pero ofrece calidad y los platos están bien cocinados y con elementos frescos.,0,0,0,0,0,1,0,0,0,0,1,0
163,"Buen ambiente, servicio mediocre.",1,0,0,0,0,0,0,0,0,0,0,1
164,"fuimos a cenar para un cumpleaños con amigos y fue fantastico, un buen trato  y la comida excelente, sobretodo el solomillo a los 3 quesos y la cabra caliente sobre pure de manzana...",0,0,0,0,0,1,0,0,1,0,0,1
165,"Calidad/Precio :elevado , la ubicación y el entorno muy agradable, pero en el interior hay un exceso de ruido que hacer sentirse incómodo y no disfrutar de la comida, sinceramente prefiero otros donde me encuentro mas agusto.",1,0,0,0,1,1,0,1,1,0,0,0
166,"Un lugar magnífico para comer buen marisco y cualquiera de sus arroces o suquet, aunque muy recomendable, no lo recomendaría para una cena íntima romántica, puesto que las conversaciones de las mmesas vecinas son muy animadas, puesto que el local se presta a ello, y el ambiente es de familias o grupos en general.",1,0,0,0,0,1,0,0,0,0,0,0
167,"Servicio excelente, vistas magníficas y excelente relación calidad-precio, siempre teniendo en cuenta que la calidad es muy alta.",1,0,0,0,1,1,0,0,0,0,0,1
168,Más que recomendable.,0,0,0,0,0,0,0,0,1,0,0,0
169,"he ido varias veces pero el sitio es para turistas y aunque la calidad es buena el precio es exagerado y el servicio deja mucho que desear, sobretodo en cuanto a las reservas.",0,0,0,0,0,1,0,0,0,0,1,1
170,solo iré como ultimo recurso.,0,0,0,0,0,0,0,0,1,0,0,0
171,"Me parece un lugar estupendo, la comida está buenisima y el servicio estupendo, dignos de admirar.",0,0,0,0,0,1,0,0,1,0,0,1
172,un lugar para ir con alguien especial(como fuí yo..),0,0,0,0,0,0,0,0,1,0,0,0
173,Estuve de nuevo en el Restaurante Barceloneta y pude disfrutar otra vez de una comida excelente:,0,0,0,0,0,1,0,0,0,0,0,0
174,"Unos entrantes magníficos: Buñuelos de Bacalao, Revuelto de ceps con butifarra y gambas al ajillo.",0,0,0,0,0,1,0,0,0,0,0,0
175,como plato principal una Paella de pescado y marisco.,0,0,0,0,0,0,0,0,0,0,0,0
176,De postres el magnífico Tiramisú y un Queso Gallego de Tetilla con Dulce de Membrillo.,0,0,0,0,0,1,0,0,0,0,0,0
177,"Para beber, agua con gas y sin gas y una botella de Gran Vos 2007 de Viñas del Vero.",0,0,0,0,0,0,0,0,0,0,0,0
178,D.O.,0,0,0,0,0,0,0,0,0,0,0,0
179,Somontano.,0,0,0,0,0,0,0,0,0,0,0,0
180,"El producto de primera, la elaboración excelente y el servicio impecable.",0,0,0,0,0,1,0,0,0,0,0,1
181,"La luz natural que entra por la vidriera de la terraza, añadida a la decoración tan acogedora da una sensación de bienestar difícil de conseguir en otros lugares.",1,0,0,0,0,0,0,0,0,0,0,0
182,"En fin, que voy a regresar tantas veces como pueda y siempre que visite Barcelona.",0,0,0,0,0,0,0,0,1,0,0,0
183,Uno de mis restaurantes favoritos.,0,0,0,0,0,0,0,0,1,0,0,0
184,"Como ya he leído en algún comentario, de los pocos sitios donde se paga lo que se come, y se come bien, muy bien.",0,0,0,0,0,1,0,0,0,0,0,0
185,Es un sitio fantástico por la buena calidad de sus productos.,0,0,0,0,0,1,0,0,1,0,0,0
186,Los arroces y suquets inmejorables.,0,0,0,0,0,1,0,0,0,0,0,0
187,"El local impresionante, con una terraza preciosa con vistas al puerto.",1,0,0,0,0,0,0,0,0,0,0,0
188,"El servicio, mas que correcto.",0,0,0,0,0,0,0,0,0,0,0,1
189,"La comida, excepcional para mi gusto.",0,0,0,0,0,1,0,0,0,0,0,0
190,"Los precios, depende de lo que pidas, puedes estar entre 40 y 60 euros por persona.",0,0,0,0,0,0,0,0,0,0,1,0
191,"Destacar los arroces, la caldereta de bogavante, las zamburiñas al horno y los platos de ""picoteo"" y los pescados en general.",0,0,0,0,0,1,0,0,0,0,0,0
192,Inmejorable calidad.,0,0,0,0,0,1,0,0,0,0,0,0
193,Especialmente exquisitos los buñuelos de bacalao y el arroz caldoso ah y el jamón de vicio.,0,0,0,0,0,1,0,0,0,0,0,0
194,Una de las mejores paellas que he comido en un restaurante en Barcelona.,0,0,0,0,0,1,0,0,0,0,0,0
195,Además tiene una terraza impresionamnte.,1,0,0,0,0,0,0,0,0,0,0,0
196,Si tienes cuidado con lo que pides puedes comer muy bien sin dejarte la cartera.,0,0,0,0,1,1,0,0,0,0,0,0
197,Del todo recomendable.,0,0,0,0,0,0,0,0,1,0,0,0
198,"Posiblemente el restaurante con la mejor terraza de Barcelona, con vistas al mar y una comida estupenda.",1,0,0,0,0,1,0,0,0,0,0,0
199,Servicio bueno pero poca simpatía.,0,0,0,0,0,0,0,0,0,0,0,1
200,Arroz muy bueno pero escasa ración.,0,0,0,0,0,1,1,0,0,0,0,0
201,Los vinos carísimos.,0,1,0,0,0,0,0,0,0,0,0,0
202,Mesa interior sin vistas.,1,0,0,0,0,0,0,0,0,0,0,0
203,No repetiremos.,0,0,0,0,0,0,0,0,1,0,0,0
204,Somos clientes asiduos .segir que lo bordais GRACIAS .,0,0,0,0,0,0,0,0,1,0,0,0
205,"restaurante de lujo autentico, con un pianista muy ameno que te hace pasar una cena romantica especialmente si vas acompañado de alguien especial.",1,0,0,0,0,0,0,0,1,0,0,0
206,muy buena paella,0,0,0,0,0,1,0,0,0,0,0,0
207,Un valor seguro para comer.,0,0,0,0,0,0,0,0,1,0,0,0
208,Toda la comida muy buena y un servicio al mismo nivel.,0,0,0,0,0,1,0,0,0,0,0,1
209,"La paella, una de las mejores de la ciudad.",0,0,0,0,0,1,0,0,0,0,0,0
210,Nos ha encantado.,0,0,0,0,0,0,0,0,1,0,0,0
211,"Cenar en la terraza: fantastico, el servicio: excelente, la comida: fabulosa, el precio: bueno, pelín caro, pero vale la pena.",1,0,0,0,0,1,0,0,0,0,1,1
212,Repetiremos.,0,0,0,0,0,0,0,0,1,0,0,0
213,<->No hay nada negativo.,0,0,0,0,0,0,0,0,1,0,0,0
214,<+>La excelencia en el producto y la homogeneidad.,0,0,0,0,0,1,0,0,0,0,0,0
215,<+>este restaurante siempre es excelente.,0,0,0,0,0,0,0,0,1,0,0,0
216,<+>Nunca falla.,0,0,0,0,0,0,0,0,1,0,0,0
217,<+>Es un valor seguro.,0,0,0,0,0,0,0,0,1,0,0,0
218,"Como siempre, no decepciona, magnificos pescados, atencion extraordinaria y vistas de Barcelona mientras almuerzas en la terraza muy bonitas",1,0,0,0,0,1,0,0,1,0,0,1
219,Una comida deliciosa.,0,0,0,0,0,1,0,0,0,0,0,0
220,Excelente arroz y buen trato.,0,0,0,0,0,1,0,0,0,0,0,1
221,La localizacion es muy buena.,0,0,0,0,0,0,0,1,0,0,0,0
222,Si tienes oportunidad de comer en la terraza...un plus.,1,0,0,0,0,0,0,0,0,0,0,0
223,Gran clasico de la barceloneta con un servicio inmejorable!!!,0,0,0,0,0,0,0,0,0,0,0,1
224,Hay que repetir!!!,0,0,0,0,0,0,0,0,1,0,0,0
225,Excelente materia prima y fantástico marco en la terraza con vistas al Muelle de España.,1,0,0,0,0,1,0,0,0,0,0,0
226,Servicio muy amable y profesional.,0,0,0,0,0,0,0,0,0,0,0,1
227,No hay más que ver que siempre está a rebosar.,0,0,0,0,0,0,0,0,0,0,0,0
228,"Sin dudarlo, volveremos!!!",0,0,0,0,0,0,0,0,1,0,0,0
229,Solicité en la reserva terraza y creo que estuve en una de las mejores mesas con terraza.,1,0,0,0,0,0,0,0,0,0,0,0
230,El servicio muy correcto tanto en atención como en educación.,0,0,0,0,0,0,0,0,0,0,0,1
231,Rapidez en la gestión del pedido y la calidad acorde al precio.,0,0,0,0,0,1,0,0,0,0,0,1
232,Quizás los postres y los vinos un poco caros.,0,1,0,0,1,0,0,0,0,0,0,0
233,Zumo naranja 6€ me parece un poco exagerado.,0,1,0,0,0,0,0,0,0,0,0,0
234,"comimos bien,sevicio amable,tardaron 2 plato mucho tiempo y no me gusto que aun quedando en la paella  y fideua mas racion,se la llevaron sin preguntar.",0,0,0,0,0,0,0,0,1,0,0,1
235,Solo puedo dar un 10 a su cocina de una calidad y frescura incomparable.,0,0,0,0,0,1,0,0,0,0,0,0
236,la única pega o sorpresa fue a la hora del café ya que me sirvieron el mismo que en el Burger King.,0,0,1,0,0,0,0,0,0,0,0,0
237,por lo demás 10.,0,0,0,0,0,0,0,0,1,0,0,0
238,"El servicio y el local es muy aceptable,pero la relación calidad precio esta descompensada.se le tendría que explicar al cocinero,que el pulpo no se calienta en el microondas y menos si se le pone el pimentón y el aceite ya que se quema y reseca.",1,0,0,0,0,1,0,0,0,0,0,1
239,"El resto,pasable y sin mas pretensiones pero no valía el precio que nos cobraron.",0,0,0,0,0,0,0,0,0,0,1,0
240,"muy buen servicio, incluido aparca coches, esta todo en el nivel de calidad excelente.",0,0,0,0,0,1,0,0,0,0,0,1
241,El servicio desconoce la carta que además baja la calidad que solía tener.,0,0,0,0,0,1,0,0,0,0,0,1
242,Ubicación,0,0,0,0,0,0,0,0,0,0,0,0
243,Estilo,0,0,0,0,0,0,0,0,0,0,0,0
244,Excelente materia prima y muy buena elaboración.,0,0,0,0,0,1,0,0,0,0,0,0
245,Servicio atento.,0,0,0,0,0,0,0,0,0,0,0,1
246,Los platos servidos en su justo momento.,0,0,0,0,0,0,0,0,0,0,0,1
247,Buena cara de vinos.,0,0,0,1,0,0,0,0,0,0,0,0
248,Local con decoración  clásica y marinera.,1,0,0,0,0,0,0,0,0,0,0,0
249,Lástima que el tiempo no acompaño para disfrutar de su agradable terraza con vistas al mar,1,0,0,0,0,0,0,0,0,0,0,0
250,Volveremos sin duda,0,0,0,0,0,0,0,0,1,0,0,0
251,"Buen ambiente con vistas al puerto,  estupenda comida, los arroces muy ricos, el servicio atento y profesional.",1,0,0,0,0,1,0,0,0,0,0,1
252,"Calidad y buen servicio, son los adjetivos ",0,0,0,0,0,1,0,0,0,0,0,1
253,para describir a este ya clásico en Barcelona.,0,0,0,0,0,0,0,0,0,0,0,0
254,Cena de pareja en restaurante especial para nosotros.,0,0,0,0,0,0,0,0,0,0,0,0
255,"Preparación de los platos, pescado en los dos casos, correcta pero presentación dejaba mucho que desear.",0,0,0,0,0,1,0,0,0,0,0,1
256,"Servicio tan atento que al final se hace pesado, urgencia por vaciar los platos de los entrantes compartidos queriendo continuamente servirnos.",0,0,0,0,0,0,0,0,0,0,0,1
257,"11:00 de la noche cocineros empiezan a limpiar cocina; el olor a plancha, pescado y detergente invade la sala.",1,0,0,0,0,0,0,0,0,0,0,0
