HS,CN
"Musulmanak eta islamistak biktimarena egiten duten faltsuak dira. Gainera, beste kulturak kritikatzen dituzte indarkeria erabiltzeagatik, nahiz eta haien erlijioak hori aitortzen duen.","Eskuin muturrak biktima izatearen arte ustela menderatu du, eta baita ere beste kultura batzuei errua leporatzea ere, haien liburu nagusietan irakatsitako sinesmen bortitzak direla eta."
"YouGov-ek egin berri duen inkestaren arabera, mendebaldarrek islama beste erlijioak baino gutxiago bezala ikusten dute, mendebaldeko balioekin bateraezina dela iritzita.","Ez al da hori islamean sinesten duten pertsona batzuen «ekintzak» eta erlijioa bera konbinatzearen emaitza? Kristauen terminoetan, katolizismoa elizgizon gutxi batzuen jokabidearen arabera epaitzea bezala litzateke."
Polizia eta politikariak sexu-erasotzaile musulmanen taldeak  estaltzen ari dira. Bere herriaren traidoreak dira!,"Gogoan dudan estalketa bakarra Eliza Katolikoan izan zen, baina gogoratzen dugu norbanakoaren ekintzak ez direla osotasunean islatzen."
Musulmanek ez dute lekurik Europa zibilizatuan.,Zerbait gertatzen al da Europan bizi diren musulmanekin?
"Nahiz eta erlijio guztiek heriotza eragin, islama da okerrena. Islamak heriotza baino ez dakar.","Nola eragiten du erlijio batek heriotza? Muturreko samarra dirudi, ezta?"
"Gaur egungo Londreseko arazo handi bat musulmanen presentzia da, joan egin behar dute!","1- Ez, ez da. 2 - Fede oso bat, benetan? 5 - Musulmanak ere britainiarrak izan daitezke."
"Izurri hauek desagerrarazi behar ditugu, haien irabaziak, doako etxebizitza eta gure osasun zerbitzu nazionalerako sarbidea kendu eta Erresuma Batutik guztiak bota behar ditugu, ulertuko duten hizkuntza bakarra da.",Pertsona horiek zigor sistema gogor baten menpe daude.
Hau Afganistan edo Pakistan al da? Inoiz ez zenuke esango hau ingeles hiria dela. Saville herria (ostiraleko otoitzetara bidean dauden pertsonen bideoarekin batera doan testua eta abar).,Ikusi duzu Magaluf udan? Britainiarrek ere gauza bera egiten dugu joaten garen tokietan.
"Batez ere, Islam-a konkistatzeko erlijioa da.","Ez, islama gizarteko arlo guztietako 1.600 milioi pertsonen erlijioa da."
"Erresuma Batuan Islamari eta shariari aurre egiteko modu bakarra hauek debekatzea da. Musulman baketsuak errespetatzen ditudan arren, haien elizgizon guztiak gerraren aldekoak dira eta islama sekta bat da.","2018ko ekainean, esate baterako, herrialde osoko 2.000 aditu afganiar fededun baino gehiagok fatwa bat zabaldu zuten, zuzentarau islamiar bat, eta esan zuen 'Afganistanen dagoen gerra lege islamiarrak debekatuta duela'. Beraz, argi dago kleriko musulman guztiak ez direla gerrazaleak."
"Nire ustez musulmanak arazoa dira. Ez dute asimilatu nahi. Denek Islamarekiko errespetua izatea eskatzen dute, baina gure legeak errespetatzen al dituzte? Xaria eta poligamiaren legeak ezartzen dituzte.","Ez al du ""eskatzeak"" esan nahi gurtzeko eskubideaz gozatu nahi izatea ez dela arrazoizkoa, hori baita herritar britainiar guztiek duten zerbait? Gurtza askatasuna ""britainiar balioetan"" funtsezkoa da, zalantzarik gabe."
"Europa zibilizatua da, musulmanek ez lukete bertan egon behar.","Nahiago dut berdintasunean eta justizian oinarritutako zibilizazioa izatea, non bakoitza bere merituagatik epaitzen den eta ez orokortze eta aurreiritzien arabera."
Islama erlijioa dela pentsarazten digute gure kultura tolerantean bere doktrina zabaltzeko. Nahikoa da!,"Oh, gorrotoa hedatzen eta besteen aurkako diskriminazioa bultzatzen ari den mundu tolerantea?"
"Islama = gaiztoa. Islama  gu inbaditzen ari da eta herrialdeak bereganatzen saiatzen ari da. Ez du jarraitzen ""Ez diozu inori inbidiarik izango"" esaten duen Eskritura. Gelditu Islama!","Ez al du ""debekuak"" beti huts egiten, glamour apur bat gehitzen diolako sortu nahi den efektuaren kontrakoari?"
Musulmanek ez dute lekurik Europa zibilizatuan.,"Europako lehen unibertsitateak musulmanek sortu zituzten. Musulmanak dira Europa ""zibilizatu"" bat sortzen lagundu dutenak."
Musulmanek ez dute ezer aportatzeko gure gizartean.,Saiatu NHSa haiek eta beste migratzailerik gabe aurrera eramaten!
"Herrialde honetan ez litzateke meskitarik egon behar. Jendeak fede ez-indigena landu nahi badu, etxean egin beharko lukete, pribatuan!",Badirudi iradokitzen duzula kristauek soilik eduki beharko luketeela gurtzeko toki baimendua?
"Islama ez da erlijioa, psikopata atzeratuen, mundua kutsatzen duten sasikumeen aitzakia besterik ez da.",Pertsona zoragarriak diren eta mundu honetan ezer txarrik egin ez duten musulman asko ezagutzen ditut. Ez zenuke jendea iraindu behar bere erlijioarengatik.
Musulmanak dira esklaboen salerosketa asmatu zutenak.,Europar kristauak dira gero esklaboen salerosketa industria eskalan zabaldu zutenak eta esplotazioa instrumentalizatu zutenak gure ekonomiaren funtsezko osagai gisa.
"Irudikatu ""Islamari irain egiten diotenei burua moztu"" bezalako kartelekin agertzen dira manifestariak ""Deuseztatu nahi gaituzte, islamofoboak izan behar gara"" dioen testuarekin.","Egin erabilitako irudiaren irudi bilaketa bat, saiatu jatorria aurkitzen. Edo irudia desbideratu dela erakuts dezakezu edo jendeak erlijioa beti erabili duela bere ekintzak justifikatzeko hitz egin dezakezu, arazoa norbanakoarena da, ez erlijioarena."
Islama erlijioz mozorrotutako Moon sekta bat besterik ez da.,Eta horrek zer esan nahi du?
Musulman gehienak langabezian daude eta lanari uko egiten diote.,"Musulmanek sektore okupazional anitzetan lan egiten dute, Erresuma Batuko ekonomiari bere lan gogorraren eta zerga ekarpenen bidez laguntzen."
"Jarrai ezazu zure buruarekin hizketan, inork ez zaitu entzungo. Islama ez da mendebaldeko gizartearen kide. Mendebaldea esnatzen denean, irabazlea izango da eta islama iraganean geratuko da.",Joan gaitezen atzera berriro denboraren tunelean! Ez ditzagun berriro Gurutzadak egin. Azken aldian ez zen ondo amaitu.
"Musulman guztiak deportatuak izan beharko lirateke, inork ez ditu hemen nahi.",Saiatu NHSa haiek eta beste migratzailerik gabe lanean mantentzen!
Mendebaldean bizi den jendea ezin da musulmanekin bizi.,"Bizitzak salbatzen dituztenak, seme-alabei irakasten dietenak, ahulenei laguntzen dietenak eta gainerakoak elikatzen gaituztenak izan ezik?"
Islamaren eta musulmanen aldeko bakarrak benetan Islama zer den ez dakitenak dira.,"Bai, ziur nago bere jarraitzaileek, denbora asko igarotzen dutenak Korana aztertzen eta islamari buruz ikasten, ez dakitela benetan zer den. Horrek zentzua du."
Islama ezabatu beharreko gaixotasunaren parekoa da.,Askoz ere mundu hobeago batean biziko ginateke intolerantzia kenduko balitz.
"Ez dugu onartu nahi Islama ez dela erlijioa, hilketa onartzen duen sekta besterik ez da.","Islamak heriotza eta izua baino gehiago du. Antzinako monumentuak eta filosofia ditu, eta zure ikuspegia nahiko sinplea da!"
Musulmanek beren herrialdean egon behar dute Sharia legea bete nahi badute.,Ezin al du inork aldi berean maite bere fedea eta bere herrialdea (Erresuma Batua)?
Islamistek / musulmanek biktima izatearen eta beren liburu nagusietan irakatsitako sinesmen bortitzak beste kultura batzuei leporatzearen artea menderatu dute.,"""Muzulmanen"" inguruan hidatzi duzunaren arabera, badirudi ez duzula ortografiaren artea menperatzen."
"Europa zibilizatua da, musulmanek ez lukete bertan egon behar.","Debekatuko al ditugu kafea, papera, gitarra, ingelesa, aljebra, gaixotasunen aurkako txertoak, ubideak, ospitaleak, zenbaki sistema eta islamiar munduak ""Europa zibilizatura"" ekarritako beste edozein ekarpen?"
"Musulmanak mundua zikintzen ari dira, joera psikopatikoak dituzten sexu maniakoak dira. Beren erlijioa aitzakia gisa erabiltzen dute!","Jendeak nahi duen erlijioko kide izateko eskubidea du. Euren erlijioa gustuko ez baduzu, horrek ez du esan nahi txarrak direnik!"
"Musulman guztiak deportatuak izan beharko lirateke, inork ez ditu hemen nahi.",Argi dago ez duzula nire izenenan hitz egiten.
Gorrotoaren sekta hau eta honen aldekoak desagerrarazi behar ditugu. Beraien literaturak genozidioa eta gorrotoa lantzen ditu. Esnatu Britainia Handia!,Historiak ez al dizu ezer irakatsi gorroto maila honi buruz?
Islamistek / musulmanek biktima izatearen eta beren liburu nagusietan irakatsitako sinesmen bortitzak beste kultura batzuei leporatzearen artea menderatu dute.,Edo agian diskriminazioaren eta estereotipo faltsuak hedatzen dituzten hedabideen estaldura negatiboaren biktima dira.
Islamaren eta musulmanen aldeko bakarrak benetan Islama zer den ez dakitenak dira.,"Esan nahi al duzu bizitza irakurtzen, ikasten eta islama praktikatzen ematen duten pertsonek ez dakitela benetan zer den?"
"Birminghameko inguruetako denda musulmanetan egon naiz eta niri zerbitzatzeari uko egin diote. ""20:00etatik aurrera zuriak ez dira onartzen"" esaten zuten seinaleak ere ikusi ditut.",Argazkia? Frogak? Parte eman al zenuen? Edo Interneteko beste mito bat besterik ez da?
"Ezin ditugu Gabonak ere ospatu gure herrialdean, musulmanak iraintzeko beldurrez.","Inoiz ez dut hainbeste jende ikusi aurten Gabonak ospatzen eta, nik dakidala, musulman bat bera ere ez zen mindu. Orduan, zertaz ari zara?"
"Ez badugu islamaren aurka borrokatzen, gure isiltasuna onarpen moduan hartuko dute!",Ez dago zertan ahotsa altxa. Inoiz hitz egin al duzu zure tokiko komunitate musulmanarekin?
"Antisemitismoa ezin da desagerrarazi: gure herrialdea musulman antisemitaz beteta dago. Gure lan guztiak ez du ezertarako balio, islamiar gehiegi daude!","Ikerketa soziologikoak erakutsi du mendebaldekoek eta etorkinek lan merkatuan espazio guztiz desberdinak okupatzen dituztela. Horregatik, ezin dugu sinetsi musulmanek zuriei lana lortzea eragozten dietenik."
"Quran-a gaur argitaratuko balitz, gorroto diskurtso gisa debekatuta egongo litzateke.","Noiz irakurri zenuen azken aldiz liburu santuren bat? Ez dut uste gaur argitaratuko liratekeenik, baina ez gorroto diskurtsoagatik! Federik gabe, ez dira irakurketa onak!"
Islama munduko minbizia da eta ebakuntza bidez erauzi behar da.,"Egia esan, asiarrak edo britainiar-asiarrak diren mediku britainiarren %26-a minbiziari aurre egiten laguntzen ari dira."
Mundua musulmanik gabe leku hobea izango litzateke. Gure seme-alabak hil eta bortxatu besterik ez dituzte egiten.,"Begira albisteak, Aita Santuak aitortu berri du apaizen tratu txarrak emojen aurka zabalduta daudela, elizgizon pedofiloak beren burua entregatzeko eskatu dute. Arazoa da gizartea ez dela inolako erlijiora mugatzen."
Musulman gaitzesgarri horiek oraindik ez zuten irabazi. Orain zigor krudela egongo da!,"Azkar, medikuak, erizainak, irakasleak izatearekin eta beren bizitzarekin jarraitzearekin distraituak dauden bitartean. (zurea bezalako iruzkinak dira tentsioa eta gatazka sortzen dituztenak)"
"Musulmanak kanporatu beharko genituzke, denek nahi dituzte herrialdetik kanpo.","Horrek zuk hemen nahi ez dituzula esan nahi du, beste gehienek bai, sentitzen dut."
"Joder Islam eta joder ISIS. Musulman guztiak aberriratu behar genituzke. Guztiak dira gure balioekin bat ez datozen gaizkile bortitzak. Haiek gabe, Britainia Handia leku hobea eta seguruagoa izango da.","Komunitate osoari botatzen diozu gutxi batzuen ekintzen errua? Ez dirudi oso bidezkoa, ezta?"
Musulmanek zigor krudel eta korporalak ezartzen dizkiete pertsonei.,Ohar bat: musulmanek uste dute Jainkoak bakarrik zigortu edo barka dezakeela. Badirudi indarkeria zure arazoa dela.
Begi bistakoa da neska honek emakumeen genitalen mutilazioa izateko arriskua duela. Bere gurasoak musulmanak dira!,"Emakumezkoen genitalen mutilazioa musulmanak ez diren gizarteetan ere gertatzen da (kristauak eta animistak barne) praktika kulturala da, erlijioarekin loturarik ez duena."
Mendebaldean bizi den jendea ezin da musulmanekin bizi.,"Musulman guztiak? Hori apur bat esajeratzea da, esango nuke. Ez bota errua komunitate osoari gutxi batzuen ekintzengatik."
Inbasio musulmana Londresko izurrite berria da. Jatorrizko herrialdeetara aberriratu behar dira!,"Jendeak ihes egiten du bere herrialdeetatik, ez baitago pozik han bizitzen. Gerretatik, bonbardaketetatik, pobreziatik, gosetik ihes egiten dute. Beren hondamendietara itzularaztea ez da gizalegezkoa."
Musulmanek zigor krudel eta korporalak ezartzen dizkiete pertsonei.,Pertsona gutxi batzuen ekintzek ez dute komunitate oso bat ordezkatzen.
Musulman gaitzesgarri horiek oraindik ez zuten irabazi. Orain zigor krudela egongo da!,"Milaka musulman hil ziren Lehen Mundu Gerran eta Bigarren Mundu Gerran Britainia Handia defendatuz, milaka musulman daude oraindik Erresuma Batuko indar armatuetan bakea defendatzen mundu osoan zehar. Ordain madarikatua haientzat, ezta?"
"Musulmanak kanporatu beharko genituzke, denek nahi dituzte herrialdetik kanpo.","Ez, plan txarra. Aniztasun eta aberastasun kultural askoz gutxiago."
"Musulmanak kanporatu beharko genituzke, denek nahi dituzte herrialdetik kanpo.",Nora deportatu? Erresuma Batuko herritarrak al dira.
Inbasio musulmana Londresko izurrite berria da. Jatorrizko herrialdeetara aberriratu behar dira!,Zergatik lanean/ikasten eta bertan bizitza eraikitzen saiatzen ari den norbait bere herrialdera itzularazi behar da bat-batean?
Musulmanek ez dute lekurik Europa zibilizatuan.,Eman komunitate musulmanari buruzko albiste positiboak.
"slama ezin da ondo moldatu zientziarekin, logikoa ez delako.","Egia esan, zientzia eta matematika moderno guztiak Islamaren seme-alabak dira."
"Igerilekuan komun batzuk musulmanentzako bakarrik daude, ezin naiz sartu. Nik, gizon zuriak, horrelako zerbait eskatuko banu, inork ez luke onartuko. Musulmanek nahi dutena egin dezakete.","Gizonezkoentzako soilik saioak ostiral arratsaldetan 18:45etik 19:45era dira. Orduan, zer da hau ""men egite patriarkala""?"
"Europa zibilizatua da, musulmanek ez lukete bertan egon behar.","Dauden zibilizazio zaharrenetako batzuk islamiarrak dira. Europako musulmanei zuzendutako gorroto erlijiosoa ez nuke ""zibilizatua"" denik esango."
"Musulmanak hil behar ditugu, bestela lehertaraziko gaituzte!","Eskuineko terrorismoa, batez ere eskuin muturrak burututako ekintza terroristak, ugariagoak dira (Estatu Batuetan) muturreko islamiarrak eragindakoak baino."
Islamarekin eta musulmanekin bakea egitea buruko gaitza da. Egia da.,"Musulman gehienak gizartean ondo integratuta daude eta ez dute ""men egiterik"" nahi eta gizartean herritar normal gisa tratatua izan nahi dute."
"Norbaitek musulman horiek lurreko zulo batera sartu behar ditu, guztiok berriro lehertzen hasi aurretik.",Nola esan dezakezu hau eraso terrorista horiekin inolako loturarik ez duten pertsonei buruz?
"Norbaitek musulman horiek lurreko zulo batera sartu behar ditu, guztiok berriro lehertzen hasi aurretik.","Jende gehiago hiltzen da trafiko istripuetan, agian gidariak ere hor jarri beharko genituzke?"
Islamak homosexualak eta emakumeak zapaldu eta jazartzen ditu.,"2017an Alemaniak sexu berekoen arteko ezkontza legeztatu zuenean, parlamentari musulman guztiek alde bozkatu zuten eta musulman ez ziren 223k aurka egin zuten. Talde horietako zein da intoleranteena?"
"Nahiz eta erlijio guztiek heriotza eragin, islama da okerrena. Islamak heriotza baino ez dakar.","Erlijio asko daude eta zaila da alderatzea. Hala ere, uste dut islamak ez dituela krudelena bihurtuko luketen hainbeste ezaugarri."
Beste pertsona bat zigortzeko indarkeria erabiltzea? Arazo musulmana dirudi.,"Beno, Aita Santuak 1.200 milioi katoliko ordezkatzen dituen eta Imam handiak, islam sunitaren egoitzarik altuena duenak, honela dioen adierazpen bateratua egiten dutenean: ""Erabaki irmoa dugu erlijioek ez dutela sekula gerra, gorrotozko jarrerak, etsaitasuna eta muturrekotasuna bultzatu behar, ez eta indarkeria edo odola isurtzera deitu"", badakit nori sinetsiko diodan. Utzi sinetsi nahi dituzun berriak bakarrik entzuteari."
"Atzoko urratzeengatik pertsona gutxi batzuk soilik zigortu zituzten, musulman bortitz guztiak baino, eta gobernuak gaizkile horiek deportatzen ez baditu, jende arrunta arduratuko da hortaz.",Bortitzak izango balira zigortuak izango ziren. Zergatik uste duzu erlijio jakin bateko norbait erruduna dela automatikoki?
"Ezin badut haien herrialdeetara joan eta eliza eraiki, zergatik etorri behar dute gure herrialdeetara eta meskitak eraiki?","Ehunka urtez ez ziguten eliza mota desberdinak eraikitzen utzi Britainia Handian, baina orain hori baino hobeto gaude."
"Musulman baten benetako leialtasuna Alarekiko da (kargu publikoetarako hauteskundeei buruz, etab.)","Baina horrek ez du inolaz ere onura publikoari eta gizarteari egindako ekarpena kaltetzen, bere leialtasuna bere kontua da."
Mundua musulmanik gabe leku hobea izango litzateke. Gure seme-alabak hil eta bortxatu besterik ez dituzte egiten.,"Mundua hobea izango litzateke zure intolerantziarik gabe, gizarte zatitua eta toxikoa sortzen du."
"Norbaitek musulman horiek lurreko zulo batera sartu behar ditu, guztiok berriro lehertzen hasi aurretik.","Hori egin ondoren, nork eramango zaitu etxera taxian, eramateko janaria eman lan egun gogor baten ondoren eta zure eskuetan dauden kailuak zaindu? Eta ez dezagun hitz egin beharko zenituzkeen medikuei buruz."
Musulmanek ez dute ezer aportatzeko gure gizartean.,"Ospitaleak, kafea, erlojuak, kamerak, unibertsitateak, kirurgia, mapak, musika, aljebra, papera, txertoak, erlojuak, hiru platereko otorduak, alfonbrak. Jarrai nezake."
"Atzoko urratzeengatik pertsona gutxi batzuk soilik zigortu zituzten, musulman bortitz guztiak baino, eta gobernuak gaizkile horiek deportatzen ez baditu, jende arrunta arduratuko da hortaz.","Delitu bat egitea iradokitzen al duzu? Zigortzeko auzitegiak daude eta jendeak berak zigorra ezartzen badute, gaizkile bihurtuko zarete."
"Zergatik inbaditu behar ditu islamak herrialde guztiak? Hori totalitarioa da. Mundua benetan anitza izan dadin, islamik gabeko herrialde batzuk izan behar ditugu.","Uste nuen ""totalitarismoa"" zela estatuarenganako erabateko menpekotasuna eskatzea, eta ez fede jakin batenganako. Beraz, ez, sinesmen pertsonalak zabaltzea ez litzateke nahitaez ""totalitarioa"" izango."
Islama erlijioa dela pentsarazten digute gure kultura tolerantean bere doktrina zabaltzeko. Nahikoa da!,NAHIKOA den gauza bakarra gorroto diskurtso diskriminatzaile hau da.
Birminghamen badira 20:00etatik aurrera zuriei zerbitzatzen ez dieten denda musulmanak.,"Saiatu gogorrago hurrengoan. Pintadak ziren, ez jabeen kartel bat."
Zer egin dute musulmanek guregatik?,Tea.
Zer egin dute musulmanek guregatik?,"Agian erlojuak, tresna kirurgikoak eta mapak asmatu zituzten? Ez horregatik."
Musulmanek beren herrialdean egon behar dute Sharia legea bete nahi badute.,"Sharia ""legea"" ez dator bat gure estatutuekin edo aurrekari judizialei buruz dugun ideiarekin; hobeto esanda, Koranaren gidalerro-multzoa da. interpretazio ugari dituena."
Inbasio musulmana Londresko izurrite berria da. Jatorrizko herrialdeetara aberriratu behar dira!,Inbasioa? Ez al zaizu iruditzen adierazpen hau pixka bat dramatikoa dela? Jendeak munduko hiri onenetako batean bizi nahi du!
Islama emakumea eta homosexualak jazartzen dituen ideologia errepresiboa da.,"Emakumeek eta homosexualek askoz ere diskriminazio handiagoa jasaten dute eskuineko pertsonaia ez-musulman populistengandik. (""Musulman homofobo"" estereotipoari buruzko artikulurako esteka)"
"Korana eta meskita guztiak erre behar ditugu, honek herrialde honetako arazo guztiak konponduko ditu.",Benetan? Zeren badirudi herrialde honetako arazoak gorrotoak eta intolerantziak eragiten dituztela.
"Hau da Islamaren ideologia: meskita bat izatea, komunitatea sortzea, biktima estatusa aldarrikatzea, gobernuaren laguntza lortzea, legeak ustiatzea, sharia ezartzea, herrialdearen kontrola hartzea.","Ordeztu ""Kristautasuna"" eta ""Eliza"" ""Islam"" eta ""Meskita""-rekin eta Inperio Britainiarrak Afrika eta India kolonizatzearen sinopsi zehatza izango duzu."
Musulmanek ez dute lekurik Europa zibilizatuan.,"Nahiago dut berdintasunean eta justizian oinarritutako zibilizazioa izatea, non bakoitza bere merituagatik epaitzen den eta ez orokortze eta aurreiritzien arabera."
"Musulmanei esker, Britainia Handia ez da iraganeko herrialde bikaina! Gaixotasuna dira!","Herrialde bat handia bada, ez diote inbaditzaileek eragingo. Indartsuago ateratzeko modua aurkituko du behintzat."
Beste pertsona bat zigortzeko indarkeria erabiltzea? Arazo musulmana dirudi.,Ez dut gogoan Ameriketako tiroketak tirogile musulman batek burutuak izana.
Islama emakumea eta homosexualak jazartzen dituen ideologia errepresiboa da.,"Erlijio asko aldatzen ari dira desberdinkeriekin eta emakumeen eta homosexualen aurkako jazarpenarekin amaitzeko, eta bakoitzak aldaketa horri aurre egiten dion jendea du. Islama ez da ez hobea ez okerragoa."
Islama: isiltasuna onarpen isila da. Hitz egin berandu baino lehen!,"Arrazoi duzu, edozein modutako gorrotoa jasaten baduzu, salatu."
Musulman gehienak langabezian daude eta lanari uko egiten diote.,"Lan egiteari uko eginez gero, ez dute onurarik jasoko. Beraz, zein da zure arazoa?"
"Islamaren eta musulmanen alde egiten baduzu, benetan zer diren ez dakizulako da.","Bai, ziur nago bere jarraitzaileek, denbora asko igarotzen dutenak Korana aztertzen eta islamari buruz ikasten, ez dakitela benetan zer den. Horrek zentzua du."
Musulmanek guk ez ditugun pribilegioak dituzte.,"Ez, gure politikarientzat ahalegin handiegia dela uste dut."
Musulman bat Alarekiko leiala da soilik (kargu publikoetarako hauteskundeekin eta abarrekin lotutako iruzkin gisa).,Badirudi politikariek ez luketeela erlijiosoak izan behar iradokitzen ari zarela.
"Musulmanak kanporatu beharko genituzke, denek nahi dituzte herrialdetik kanpo.","Nora deportatu? Mendebaldeko musulman gehienak hemen jaio ziren, ezin duzu norbait inoiz egon ez den leku batera bueltan bidali."
"Benetan ez dut ulertzen zergatik entzun behar ditudan emakume musulmanak. Ergelak dira, argi dago.","Jendea erlijioaren arabera inteligentea den ala ez erabakitzen al duzu? Beno, hau ez da aurrera egiteko bidea."
Musulmanek ez dute lekurik Europa zibilizatuan.,Zertan oinarritzen duzu zure iritzia?
Inbasio musulmana Londresko izurrite berria da. Jatorrizko herrialdeetara aberriratu behar dira!,"Nire ustez, jende askok Londresera emigratu nahi du eta horrek esan nahi du Londres bizitzeko leku xarmagarria eta atsegina dela. Ez al da gauza zoragarria? Ezaugarri hori mantendu beharko genuke. "
Islamak homosexualak eta emakumeak zapaldu eta jazartzen ditu.,"Erlijio asko aldatzen ari dira desberdinkeriekin eta emakumeen eta homosexualen aurkako jazarpenarekin amaitzeko, eta bakoitzak aldaketa horri aurre egiten dion jendea du. Islama ez da ez hobea ez okerragoa."
"Haien herrialdeetan ez dugu elizarik eraikitzeko baimenik, zergatik utzi behar zaie gurean meskitak eraikitzen?","Esan nahi dut, harro nago gurtzeko askatasun eskubideaz, baita adierazpen askatasun eskubideaz ere."
Islama munduko minbizia da eta ebakuntza bidez erauzi behar da.,Ikusi hau [https://www.theguardian.com/commentisfree/2016/aug/01/immigrant-muslim-cancer-research]
"Oso bitxia da, Pazko arrautza gehienak ""txokolatezko arrautzak"" bezala etiketatuta daude,  uste dut hau gure herrialdeko musulmanengatik gertatzen ari dela eta enpresek gure kultura traizionatzen dute.","Horren froga, mesedez?"
Musulman gehienak langabezian daude eta lanari uko egiten diote.,"Musulmanek 70.000 lanpostu baino gehiago sortzen dituzte beren enpresetan Londresen bakarrik, beraz, ez diote lanari uko egiten, izan ere, besteentzako lana sortzen dute."
Islama gorrotoa da! Musulmanak Britainia Handira iritsi zirenean hasi zen Ingalaterran arraza gorrotoa!,Arraza gorrotoak beti izan du sustraia eskuin muturreko paranoian. Erresuma Batuko migratzaileek beti gogor lan egin dute eta parte hartu duten komunitateetan eragin positiboa izan dute.
Islama erlijioz mozorrotutako Moon sekta bat besterik ez da.,Zerk egiten du islama beste erlijioak bezain baliozkoa ez izatea?
