HS,CN
"El Partido Laborista cuenta con los votos de los musulmanes de Gran Bretaña, ¡por eso no se ocupan del repugnante antisemitismo de su lado! Es una cuestión de matemáticas, eso es todo.","¿Está acusando a todos los musulmanes británicos de antisemitismo? No estoy de acuerdo, por mi experiencia son personas normales que no muestran su odio hacia nadie, simplemente viven sus vidas."
El velo islámico es la demostración del Islam político.,"¿Política? Curiosamente, cuando los partidos políticos dominantes buscan al electorado musulmán, ¡escuchamos un discurso completamente diferente! La política no tiene nada que ver con eso, la única conexión que se puede hacer es cuando un musulmán francés va a votar, pero todos cumplen con su deber cívico, un ateo, un cristiano o un budista o un judío."
"Europa es civilizada, los musulmanes no deberían quedarse allí.","Los musulmanes son amantes de la paz, respetuosos de la ley y trabajadores, lo que contribuye mucho al Reino Unido económica y culturalmente."
El Islam es una religión incompatible con los valores,"El Islam es compatible en todo el mundo, excepto por los regímenes dictatoriales, los regímenes autoritarios injustos, los campeones de la decadencia. Que no es el caso de la república que yo sepa."
¡Nos están reemplazando en nuestra casa! Deben permanecer en su casa para poner el burka y golpear a sus esposas.,¿Alguna vez ha sentido que pronto será necesario convertirse al Islam para seguir viviendo en nuestra sociedad?
Imagen (presenta a manifestantes con carteles como 'decapitar a los que insultan al Islam) con una leyenda que dice' ¿Cómo podemos ser islamófobos cuando realmente quieren matarnos? '.,"La imagen fue retocada, original aquí. Los musulmanes nunca han querido matarnos a nosotros ni a nadie, esta imagen de hecho demuestra que no hay evidencia de ello, por lo que la gente tiene que inventarlo."
¡El único propósito del Islam es dominarnos y destruirnos! Ser multicultural no tiene nada que ver con eso.,"Amigo mío, pero ¿sabes realmente qué es la ideología islámica?"
Los musulmanes violan a nuestras mujeres y deben ser castrados.,"Buenas noches, de tu comentario deduzco que las violaciones de mujeres italianas no deben ser tanto porque hay hombres violentos, sino por ser miembros de la religión islámica. Entonces, ¿es algo relacionado con la religión? ¿No es una cultura sexista y violenta?"
"La mayoría de inmigrantes son musulmanes. Es inútil negar que esta invasión, ciertamente pacífica, traerá a nuestra sociedad la Sharia. ¡Me alegro, si la sharia representa cultura y enriquecimiento!","Hola, en realidad los datos muestran que la mayoría de los inmigrantes en Italia son cristianos-ortodoxos y de fe no musulmana: la situación es muy diversa y no creo que podamos hablar de invasión cuando el número de musulmanes en Italia (incluidos los ciudadanos italianos) es poco menos del 5%."
"En la piscina hay baños solo para musulmanes, no puedo entrar. Si yo, un hombre blanco, pidiera algo como esto, nadie me lo permitiría. Los musulmanes pueden hacer lo que quieran.","Las sesiones solo para hombres son los viernes por la noche, de 18: 45-19: 45. Entonces, ¿qué es esto, 'Apaciguamiento Patriarcal'?"
Los musulmanes no aportan ningún valor a nuestra cultura.,De Verdad? ¿Cientos de millones de personas?
Los musulmanes concibieron el comercio de esclavos,"La esclavitud dominaba ampliamente antes del Islam. De hecho, los musulmanes mejoraron las condiciones de los esclavos y destacaron la importancia de la compasión y la bondad."
Vienen a someternos. Este es el proyecto ideológico que el Islam siempre ha perseguido.,"El Islam, como el cristianismo, tiene un mensaje que transmitir: todos son libres de elegir si quieren escuchar o no, pero nadie tiene la capacidad ni la voluntad de subyugar a nadie."
El Islam es fanatismo. Los musulmanes quieren matar a todos los que no creen en su dios.,"Buenas noches, entonces todas las mujeres, hombres y niños de la fe musulmana tienen el objetivo de matarnos? ¿Dónde leíste esta tesis?"
"Es curioso que casi todos los huevos de pascua estén etiquetados como ""huevos de chocolate"". Es porque hay demasiados musulmanes en nuestro país y las empresas tienen que ir en contra de nuestra cultura.","Personalmente, creo que se trata más de la comercialización de un festival religioso que de una ""traición a nuestra cultura"" como tal. A los ateos también les gusta el chocolate."
"Es curioso que casi todos los huevos de pascua estén etiquetados como ""huevos de chocolate"". Es porque hay demasiados musulmanes en nuestro país y las empresas tienen que ir en contra de nuestra cultura.",¡A los ateos también les gusta el chocolate!
Los árabes son todos terroristas y quieren conquistarnos con la violencia y las bombas. Debemos responder con napalm.,"¿Todos terroristas? Mi tía se casó con un árabe, tiene dos hijos maravillosos y vive en Estados Unidos. El árabe en este caso solo se ha ganado el corazón de mi tía, sin violencia ni bombas."
Los musulmanes odian a cualquiera que no sea musulmán.,Estas declaraciones incitan al odio y son castigables por la ley.
¿Qué han hecho los musulmanes por nosotros?,Ciencia pionera.
El velo islámico es la demostración del Islam político.,De Verdad? ¿Y por qué no podemos encontrar mujeres con velo en la política?
"¿Crees que estas cucarachas musulmanas han ganado? ¡No, ahora es el momento de la sangrienta retribución!",¿Castigo sangriento? La mayoría de las personas de todos los credos siguen adelante con sus vidas y una pequeña minoría como su comentario parece estar tratando de crear un conflicto. Pero no creo que ninguno de ustedes esté ganando.
Estamos viendo cada vez más un problema musulmán.,Los musulmanes no son un problema. Buscan su lugar en la sociedad y eso les ha inspirado a vivir en paz pero no desean vivir escondidos o asimilados. Todos somos parte de nuestra sociedad.
El Islam oprime y persigue a los homosexuales y las mujeres.,"Bueno, si hablamos de derechos LGBT y misoginia, la Biblia no tiene exactamente el mejor historial. Pero hemos aprendido a enfocarnos en valores positivos en lugar de dejarnos arrastrar por los detalles."
"Todos los musulmanes deberían haber sido castigados por ayer, no solo unos pocos. El ciudadano actuará si el gobierno no hace nada.","De hecho, el gobierno deporta a esos criminales a sus países."
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"No sabía que los musulmanes (que no es lo mismo que los árabes, ya que algunos son cristianos) buscasen imponernos sus reglas."
El Islam nos invadirá: es la islamización.,Finalmente reconocemos a los musulmanes en Francia.
El Islam es una religión incompatible con los valores,Todo depende de cómo se practique pero no es incompatible si hay respeto mutuo.
Nunca comparta una comida con un musulmán: podría contraer el VIH o el Ébola.,¿Proporcionó la base para todo el conocimiento científico y filosófico occidental?
Los musulmanes odian a cualquiera que no sea musulmán.,Medios de comunicación: difundir el miedo a los musulmanes.
Los musulmanes deben permanecer en su país si quieren seguir la ley sharia.,"La ley de la Sharia dice que se respete la ley del país en el que se encuentra, me parece que están bien aquí."
Nuestro gobierno ha traído invasores islámicos a nuestro país y ahora vemos a nuestras niñas y mujeres dañadas.,"La mayoría de las agresiones sexuales son cometidas por un familiar, amigo o pareja de la víctima, y solo el 12% de los violadores condenados son musulmanes. No es la religión, son los individuos, sean musulmanes o no."
El velo islámico es la demostración del Islam político.,¿Qué significa el Islam político?
"Los musulmanes son un problema en mi opinión. No quieren asimilarse. Exigen que todos muestren respeto por el Islam, pero ¿respetan nuestras leyes? Establecen leyes de la sharia y poligamia.",¿No es la poligamia común a una variedad de culturas y ha sido practicada por una variedad de religiones? Pregúntale a los mormones.
Estos islámicos nos devolverán a la Edad Media. Moriremos de hambre y moriremos de enfermedades que desaparecieron.,Si quiero hacer un viaje a un país árabe no me piden que me ponga ninguna vacuna porque no hay enfermedades diferentes a las nuestras.
"Hay grupos de musulmanes, instruidos por el Corán, que violan a nuestras mujeres y permitimos que esto suceda. ¿Por qué?",Esto simplemente no es cierto y ¿cómo se puede decir esto sobre un grupo tan grande de personas de todos los ámbitos de la vida?
¡No quiero tener nada que ver con los islamistas! ¡Son asesinos y terroristas y debemos luchar contra ellos!,"Generalizar no está bien y no conduce a nada bueno: explicar cuál es la fe de más de mil millones y medio de personas que viven en contextos culturales muy diferentes es complicado. El terrorismo no tiene nada que ver con el Islam, pero algunas personas le dan una lectura equivocada y extremista. Los pilares del Islam son la declaración de fe del monoteísmo, la oración, la limosna, el ayuno durante el mes de Ramadán, la peregrinación a La Meca."
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"Creo que quieren mantener sus costumbres y lo entiendo, no diría que quieren imponernos sus costumbres."
Comenzaron a construir mezquitas en todas partes y así compiten con nuestras iglesias.,"No me parece que se hayan construido tantas mezquitas en los últimos años, pero sería una mejor manera de aislar a los extremistas."
Tu velo es un ataque contra mí.,"Eres tú, quien me ataca, mi velo se queda en mi cabeza y no hace nada."
Los únicos a favor del Islam y los musulmanes son los que ignoran lo que realmente es.,"¿Qué, una fe de cientos de millones de personas de todos los ámbitos de la vida?"
¡Estos 8 criminales son todos musulmanes porque sus víctimas siempre son blancas o no musulmanas!,"No lo son, pero me pregunto por qué solo los crímenes con víctimas de 'blancos británicos no musulmanes' son los que circulan ampliamente."
"No debemos creerle a la élite política y liberal. El Islam no es bueno, es completamente malo y es una ideología de guerra y siempre fue así. Todos los musulmanes están destinados a luchar contra nosotros, y eso es lo que hacen mediante el engaño y la violencia.","Si supiera más sobre la ideología islámica, estaría de acuerdo en que el Islam no se trata solo de guerra y violencia. Fomenta muchas cosas buenas como el amor a la familia y el apoyo a los pobres. ¡Confundes a los musulmanes en general con bandas armadas!"
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,Gilipolleces.
Los árabes son todos terroristas y quieren conquistarnos con la violencia y las bombas. Debemos responder con napalm.,Una declaración despótica que ni siquiera Atila compartiría.
"Nuestros niños están siendo alimentados a la fuerza con estas tonterías del ""Islam"" en las escuelas. Esto es una vergüenza.",¿Tiene alguna evidencia de que el Islam esté siendo impuesto a la fuerza? No lo creo.
Las personas que viven en Occidente no pueden vivir con musulmanes.,"De Verdad? ¿Incluso los cirujanos, médicos y enfermeras que mantienen funcionando nuestro NHS? Los que mantienen en funcionamiento el transporte público, las familias trabajadoras alimentadas con comida para llevar y las tiendas de la esquina, las que ganan medallas de oro en deportes, premios de entretenimiento y ciencia."
Las mujeres con velo no trabajan. Están encerradas en casa.,"Las mujeres con velo están en casa, no porque estén encerradas, sino porque el sistema hace todo lo posible para sacarlas de la sociedad."
Todos los musulmanes son incompatibles con cualquier sociedad occidental.,¿Sabías que los musulmanes introdujeron las universidades en Europa? Así como el conocimiento sobre el que se basan las sociedades occidentales.
El Islam nos invadirá: es la islamización.,El Islam es una religión y no puede invadir a nadie. La islamización es un término inventado que no tiene sentido. La única razón por la que desea tener tales comentarios es porque no sabe cuáles son.
El velo islámico es la demostración del Islam político.,¿No estás intentando hacer una declaración de intenciones?
El velo islámico es la demostración del Islam político.,Este pensamiento es el comienzo del camino que conduce al racismo.
Los árabes son todos terroristas y quieren conquistarnos con la violencia y las bombas. Debemos responder con napalm.,"Ser de origen árabe no significa ser terroristas, evita generalizaciones que solo conducen a más odio."
"#visitmymosque. Pero no haga ninguna pregunta sobre las bandas de violadores musulmanas cuyo objetivo son colegialas blancas en Rotherham, Rochdale, Tyneside, Teeside, etc.","#visitmychurch, ¿va a las iglesias y le hace las mismas preguntas al clero?"
Estamos viendo cada vez más un problema musulmán.,"Habrá un ""problema musulmán"" ya que los medios de comunicación hablan de los musulmanes sin darles una voz."
¿Hará el Ramadán que los musulmanes paren con el terrorismo y la violación de niños? Probablemente no lo hará.,El hecho a menudo ignorado es que los musulmanes son algunas de las mayores víctimas de ISIS y dentro de la propia comunidad controlada por ISIS.
¡La MGF sólo les ocurre a niñas que tienen padres musulmanes!,"La MGF es un grave abuso de los derechos humanos. Si realmente te importa detenerlo, creo que deberías concentrar tu energía en hacer campaña contra él, no usarlo para apoyar tu retórica anti-musulmana."
"Creo que rezan en público solo para hacernos enojar a los infieles, no porque sea un principio fundamental del Islam.","No importa un poco de oración en público, cómo evitar que el Ejército de Salvación nos despierte un domingo con 'Onward Christian Soldiers'. ¡Un trabajador merece una mentira!"
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,Son libres de usarlo o no.
Tu velo es un ataque contra mí.,¡A mí me gusta!
El 99% de los musulmanes en el Reino Unido están desempleados y se niegan a trabajar.,Las estadísticas y los hechos simplemente demuestran que esto es falso.
El Islam es una religión no pacífica que profesa violencia.,¿Exactamente dónde puedo encontrarlo documentado?
Los árabes quieren imponer su religión y gobernar en nuestro hogar. Deben ser enviados de regreso a su casa en botes.,"El fundamentalismo quiere imponer sus propias religiones, y tenemos fundamentalismo no solo islámico sino también católico, judío, etc."
"Incluso si todas las religiones provocan la muerte, el Islam es la peor. El Islam no conduce a nada más que a la muerte.","Hay muchas religiones y es difícil compararlas. Sin embargo, supongo que el Islam no tiene tantos rasgos que lo convertirían en el más cruel."
"Un musulmán es leal solo a Allah (como un comentario en relación con la elección para un cargo público, etc.).","No, una persona puede ser religiosa y tener múltiples lealtades y responsabilidades."
El Islam es una ideología represiva que persigue a las mujeres y a los homosexuales.,El sexismo y la homofobia no son exclusivamente musulmanes. Solo tienes que mirar a la iglesia para ver eso.
¡Los musulmanes son todos fanáticos y quieren gobernar en nuestra casa!,"El fanatismo siempre es peligroso, pero no se pelea, cuando lo hay, con más fanatismo."
Los musulmanes son todos terroristas.,¿Quieres decir 'TERRORISTAS?
El Islam es bárbaro.,"El Islam es una religión de paz, amor y hermandad."
El Islam es una religión incompatible con los valores,"Vea a sus representantes, los valores de la República son la corrupción, el nepotismo, la mediocridad, el desprecio de clase, la sordera manifiesta a los problemas de la población, el apoyo infalible a los criminales de guerra que van a la caja, el laicismo obligatorio para todo lo que no sea judeocristiano, represión sistemática, infantilización permanente de la población. Me gustaría decir que el Islam es incompatible con estos valores, pero eso sería olvidar que los líderes de los países musulmanes tienen casi todos los mismos valores."
Los musulmanes violan a nuestras mujeres y deben ser castrados.,No creo que las violencias sexuales sean cometidas únicamente por miembros de una religión específica.
"¿No dicen los libros sagrados de los musulmanes ""maten a los infieles dondequiera que se escondan""?","No, el Corán no instruye a matar en ninguna parte de él. En serio, verifique sus hechos."
Los musulmanes odian a los cristianos. Quieren matarnos a todos.,"Los musulmanes no odian a los cristianos. Algunas personas, fanáticas y radicalizadas quieren anular al otro, es sobre los que hay que actuar."
"El Islam no tiene nada que ver con la cultura occidental y tan pronto como Occidente lo entienda, esta religión será derrotada.",El único obstáculo para que el Islam coexista con la cultura occidental es una intolerancia como esta.
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,"Esta declaración es como decir ""los alemanes son todos xenófobos y antisemitas""."
"Esto vino directamente de un imán: creen en todo lo que dice el Corán, a pesar de que estas palabras e idelología tienen 1400 años y no pertenecen a nuestro siglo. Este espantoso libro es la raíz de todos los problemas del mundo actual.",¿Evidencia?
El velo islámico es la demostración del Islam político.,La demostración o demostraciones de que hay demasiadas lagunas en los conocimientos generales.
Los musulmanes no tienen lugar en la Europa civilizada.,"¿Prohibiremos también el café, el papel, la guitarra, el idioma inglés, el álgebra, las vacunas contra las enfermedades, los canales, los hospitales, el sistema numérico y cualquier otra contribución a la ""Europa civilizada"" del mundo islámico?"
El Islam es irracional e incompatible con la ciencia.,"¿Estás seguro? Hay una gran cantidad de musulmanes, científicos, investigadores y profesionales médicos a favor de una religión que supuestamente es incompatible con la ciencia."
"¡Los musulmanes en unos años impondrán sus creencias, y quiero ver todos los corazones radicales-chic sangrantes que tendrán que usar el velo!",La población musulmana en Italia asciende a menos del 3% del total. No creo que sea una cifra que les permita tomar el poder en unos años.
Realmente no entiendo por qué debería escuchar a las mujeres musulmanas. Evidentemente son tontas.,¿Qué hay de figuras influyentes como la baronesa Sayeeda Warsi? ¿O miembro de Harvard Hayfa Al-Kaylani? ¿Debería enumerar algunas mujeres musulmanas más brillantes e inteligentes?
"Ni siquiera podemos sacar al perro a pasear, podríamos ofender a los musulmanes.","Eso fue de un reality show de televisión. Tal vez si estoy en el de la próxima semana y digo que todos los dueños de perros deberían limpiar al pasear a sus mascotas, el mensaje podría calar."
Tu velo es un ataque contra mí.,¿No te gusta el color?
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,"Tu respuesta es demasiado maniquea. Vivimos en un mundo de matices. Quizás hay una pequeña parte que es parte de ella, al igual que irá a Irlanda o las Farc en Colombia u otros grupos cristianos africanos son parte de ella. Este no es el sello distintivo del Islam."
Los musulmanes son todos terroristas salafistas islamistas fundamentalistas.,Debería leer la definición de estos términos o debería decir leer las definiciones de estos términos ya que parece estar en total ignorancia.
"Las leyes británicas están más a favor de los musulmanes. Los musulmanes no serán castigados si cometen un crimen, pero los británicos sí.",¿Puede dar un enlace al informe sobre personas en prisión por criticar a los musulmanes? No puedo creerlo hasta que vea datos oficiales.
El nazismo es como el terrorismo. Al principio solo unos pocos alemanes lo apoyaron y con los musulmanes es lo mismo.,¿Entonces el 90-95% no lo son?
El Islam es una ideología represiva que persigue a las mujeres y a los homosexuales.,"Hmm, ¿a qué otra religión suena eso?"
Algunos musulmanes recitaron el Corán mientras violaban a una niña porque valida sus acciones.,¿Qué quieres decir? ¿A qué te refieres?
"¡Doble rasero liberal! ¡Los musulmanes oprimen a las mujeres, los homosexuales y otras culturas, pero no se les hace responsables debido a la tolerancia de nuestra sociedad! El gobierno debería dejar de someterse a estas personas.","Creo que te sorprendería la cantidad de similitudes que el Islam comparte con el cristianismo. Enseña amor y perdón, no opresión."
El Islam nos invadirá: es la islamización.,"El Islam ciertamente tiene muchos seguidores, pero estás exagerando un poco."
El Islam nos invadirá: es la islamización.,El Islam es una de las religiones minoritarias en este país y lo es de manera sostenible. Creer que hay un complot extraterrestre para islamizar Francia es una pura ilusión. Una gran proporción de musulmanes franceses son de origen inmigrante. Los padres y los abuelos fueron traídos como trabajadores baratos y dóciles. Resulta que también eran en gran parte musulmanes y apegados a su práctica religiosa. Y sus hijos y nietos también lo son la gran mayoría.
¿Usar la violencia para castigar a otra persona? Suena como un problema musulmán.,¿Qué pasa con la violencia utilizada por el cristianismo durante los últimos cientos de años? ¿Las cruzadas te parecen una 'cuestión musulmana'?
"Deberíamos expulsar a los musulmanes, todo el mundo los quiere fuera del país.","Deportado a donde? La mayoría de los musulmanes en el oeste nació aquí, no se puede enviar a alguien de regreso a un lugar donde nunca ha estado."
"Ya es hora de que entendamos el Islam por lo que realmente es. Una secta asesina que debería ser exterminado, y nada más.","Hay más en el Islam que muerte y terror. Tiene monumentos y filosofía antiguos, ¡y tu visión es bastante simplista!"
"Los recibimos en nuestra casa, los apoyamos y nos matan: son bestias, no hombres.","Oh, últimamente, decir que les damos la bienvenida parece una afirmación poco realista, incluso decir que nos matan parece un poco fuerte y un poco excesivo, ¿no crees?"
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,Una idea que solo lleva al odio.
¿Sabías que la epidemia de violaciones en Europa se debe a los inmigrantes musulmanes? Han estado violando a nuestros hijos durante muchos años sin que la policía y el gobierno se opongan. ¡El Islam es un culto a la muerte!,"Utilizar a la comunidad musulmana como chivo expiatorio no nos ayuda a prevenir la violación. Si desea ayudar a generar un impacto, comencemos por abordar el problema."
Los musulmanes son todos terroristas.,¿Conoces a todos los musulmanes que deben hacer el mundo?
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,¿Qué daño te hace? ¿Gastas tanta energía en defender el derecho al alojamiento de las familias en la calle?
Estamos viendo cada vez más un problema musulmán.,"Francia no cree que sea un problema explotar, menospreciar o masacrar a sus colonias musulmanas."
"¡El Islam solo enseña odio! Los musulmanes difundieron su odio en Inglaterra cuando llegaron por primera vez, ¡antes de que no hubiera odio racial!","[gif de alguien que parece escéptico] El racismo está casi completamente dirigido a minorías, así que parece que estás sugiriendo que el racismo empezó cuando la paranoia de la extrema derecha descubrió el objetivo más reciente."
"Si apoyas al Islam y a los musulmanes, es porque no sabes lo que realmente son.","Sí, estoy seguro de que sus seguidores, que dedican una gran cantidad de tiempo a estudiar el Corán y aprender sobre el Islam, de hecho ignoran lo que realmente es. Eso tiene sentido."
Alguien tiene que meter a esos musulmanes en un agujero en el suelo antes de que empiecen a hacernos volar a todos de nuevo.,El extremismo violento es terrible. Es una pena que los musulmanes tengan que soportarlo.
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,¡Cómo puedes mantener ese tipo de conversación si no sabes nada del lugar de la mujer en el Islam!
¡No se nos permite izar nuestra bandera nacional en caso de que ofenda a un musulmán! #fitinorfuckoff.,"Vi esa noticia, ¿nada que ver con el hombre que orinó en el suelo y golpeó a un guardia de seguridad? Eso fue permitido y lo echaron por llevar una bandera."
"Los musulmanes tienen dos caras, ¿alguna vez has visto una protesta musulmana contra los abusos de los derechos humanos de Isis o de Arabia Saudita?",¿Ha oído hablar de la Coalición Árabe contra el Terrorismo?
Los árabes son todos terroristas y quieren conquistarnos con la violencia y las bombas. Debemos responder con napalm.,"Como los italianos son todos mafiosos, los alemanes son todos nazis, pero como sabrás, estos son prejuicios, como el tuyo sobre los árabes."
El Islam nos invadirá: es la islamización.,"El Islam es mayoritario en Mayotte, muy presente en la Isla de la Reunión. ¿Significa eso que a los habitantes no les va bien?"
Musulmanes: volved a vuestro país.,Uno puede ser musulmán y francés.
Los árabes son todos terroristas y quieren conquistarnos con la violencia y las bombas. Debemos responder con napalm.,"Generalizaciones estúpidas, serias y peligrosas."
¿Usar la violencia para castigar a otra persona? Suena como un problema musulmán.,El Corán dice que los musulmanes no deben buscar hostilidad hacia aquellos que no han buscado ninguna guerra contra ellos. Los yihadistas no representan la fe islámica.
Casi todos los musulmanes deciden deliberadamente no trabajar.,"Si se niegan a trabajar, no recibirán beneficios. Entonces, cuál es tu problema."
Musulmanes: volved a vuestro país.,No hay musulmanes.
"Si el Islam es una religión moderna, ¿por qué todos los países musulmanes están atrasados y / o en guerra?",Existió la edad de oro del Islam.
Tu velo es un ataque contra mí.,? Mira para otro lado.
Quieren imponernos el velo a todos.,No creo que tengan interés en poner el velo a las mujeres no musulmanas.
Musulmanes: volved a vuestro país.,Nuestra religión no tiene nacionalidad.
Los árabes son todos terroristas y quieren conquistarnos con la violencia y las bombas. Debemos responder con napalm.,"Históricamente, la población más violenta, sanguinaria y opresora ha sido la europea, por lo que diría que no podemos generalizar por completo."
Los musulmanes deberían irse a casa.,Los musulmanes deberían vivir libremente como todos los demás.
"La única lealtad real de un musulmán es a Allah (como un comentario en relación con la elección para un cargo público, etc.)","Ser religioso nunca antes ha impedido a nadie ocupar un cargo público. Los cristianos tienen lealtad a Dios, ¿no es eso lo mismo?"
Las mujeres con velo son sometidas y obligadas a llevar el pañuelo en la cabeza.,Las mujeres con velo son libres.
Se está produciendo una verdadera invasión islámica.,"Hola, ¿podrías explicar mejor a qué te refieres con invasión islámica? ¿Podría decirme algunos datos que respalden esta afirmación?"
"Sigue hablando contigo mismo, nadie te escuchará. El Islam no pertenece a la sociedad occidental. Cuando Occidente despierte, será el ganador y el Islam será relegado a la historia.",El único obstáculo para que el Islam coexista con la cultura occidental es una intolerancia como esta.
"¡Estos estándares liberales! Los musulmanes son intolerantes con otras culturas, mujeres y homosexuales, pero nuestra sociedad los protege con esta política liberal.",Una declaración arrolladora sobre toda una fe.
El Islam es fanatismo. Los musulmanes quieren matar a todos los que no creen en su dios.,¿Sabías que las principales víctimas del terrorismo islámico son exactamente los musulmanes?
Los musulmanes odian a cualquiera que no sea musulmán.,Eres tú el que no acepta a nadie.
En Birmingham hay una escuela donde las niñas y los niños están separados aunque no sea legal.,"La segregación de género en las escuelas religiosas es claramente negativo, pero no es exclusivo de algunas escuelas islámicas. Tenía 15 años antes de asistir a clases mixtas, pero eso se consideraba normal en los años sesenta y setenta. El problema es que, si vamos a permitir la educación basada en la fe, necesitamos mecanismos efectivos para mantener los estándares y los requisitos legales."
¿Ha olvidado nuestra élite política que somos cristianos? Durante mil años han sido el enemigo y hemos detenido el genocidio que iniciaron. ¿Y ahora lo alentamos? Que los guerreros se encarguen de esto porque esto es la guerra.,¿Has olvidado que este país respeta a las personas de todas las religiones?
