Stance	Clean_tweet
NONE	CEO pay the target for 2016 election. From someone who makes more than most CEO's but you drank the Kool-Aid. SemST
AGAINST	NBCNews including repealing the first amendment. Way to go SemST
AGAINST	NBCNews Stop promoting HillaryClinton. She is a liar. Just like her impeached husband. WakeUpAmerica SemST 
AGAINST	Lets take back our country! Whos with me? No more Democrats!2016 SemST
AGAINST	RT AnthonyCumia: If Hillary IS elected, I have my transition team together to smoothly move me from a racist to a sexist. SemST
NONE	I'm ThatChampion who got kicked off the Watergate team due to misconduct.  tcot SemST
AGAINST	.HillaryClinton is a droid & someone's programmed her to say things - thinks she doesn't have to WORK to win so she ISN'T! SemST
FAVOR	JVollmer08 HillaryforIA freedom_justice_equality_education for innovation and development to make happy_life i Utopia SemST
NONE	Probably not perfect for everyone--which I think is great. But this is the beginning of a conversation. SemST
FAVOR	I'm on the edge of my seat to start volunteering for HillaryClinton 's presidential campaign!  So excited!!  cantwait SemST
AGAINST	RT FutureTXLeader: Is everyone in ElPaso Texas ready for president MarcoRubio UTEP NewAmericanCentury 2016 Future Rub... SemST
FAVOR	RT GunnJessica: Because I want young American women to be able to be proud of the 1st woman president SemST
AGAINST	Chris_1791 newsbusters 2 years ago Hillary never answered whether she used private email Liberal media passed on reporting SemST
NONE	dnewhauser take that, Marco Rubio. GOP cannot pander to the Latino vote while pushing policies that hurt the community most. SemST
FAVOR	StateDept AmbCathyRussell AdamSmith_USA HillaryClinton HillaryforIA BarackObama The whole world is supporting you. SemST
NONE	Lets remember dickcheney is an unindicted war criminal b4 we start yelling Benghazi day after day. Will we ever see justice? SemST
AGAINST	Although I certainly have disagreements, after reading about GovernorOMalley I much rather have him than HillaryClinton. SemST
FAVOR	Human rights are women's rights and women's rights are human rights. - Hillary Clinton SemST
AGAINST	Would you wanna be in a long term relationship with some bitch that hides her emails, & lies to your face? Then Dontvote SemST
NONE	Bill Clinton just wants to be the first dude to be President and bang one. SemST
FAVOR	HuffPostPol If HillaryClinton can do half of what he did then she would be doing is a favor SemST
NONE	I've made my decision, to the shock of no one probably, who I'm supporting  SemST
NONE	Didn't realize Bob Dole was mentioned in Tupac's "How do u want it" YesterdaysLeaders SemST
AGAINST	If I run for office this will be my original logo:          M   libertynothillary  HillNo tcot UniteBlue SemST
NONE	I will be there when your little tree has run out of smell. ThatChampion SemST
AGAINST	crazy to think next up for the Oval Office is either going to be Hillary or a Republican SemST
NONE	NACLA BrasilWire SOS OBAMA Who?? BarackObama ?? :-))))  Are you joking? StopDilma StopLula StopForodeSaoPaulo SemST
AGAINST	CheekyGent ChuckCJohnson Hey Hillary is on her to way to buy votes too! HillarySoOld SemST
FAVOR	RT NicolaSturgeon: "It's official: Hillary's running for president," says her campaign chief. Excellent! SemST
FAVOR	Only in a SEXIST AS FUK world would we question the "qualifications" of a former SECRETARY OF STATE. SemST
FAVOR	ChrisChristie couldn't run his way out of a paper bag let alone beat HillaryClinton. Go home Chris u r drunk. ChrisChristie SemST
NONE	ReformedBroker "to da honies gittin money playing bleep words like dummies" POPPA SemST
NONE	Forgive CherylRios of her stupid comments about women being president. She will blame it on that time of the month anyways. SemST
FAVOR	Low key it would be interesting to have a female president. SemST
AGAINST	seanhannity we lost 4,000 of our Military boys when your President pulled out of Iraq.  LiberalConsequences  SemST
NONE	.EthanObama I know - it's just going to be a long year! SemST
AGAINST	Technically, a president with raging hormones could refer to estrogen, testosterone or anabolic steroids IBlamePublicSchools SemST
AGAINST	Does Hillary really need to run this country? Could we just make her president of the Bingo club at Shady Pines?  tcot p2 SemST
FAVOR	Lol why do so many people around here hate Hillary?  SemST
AGAINST	HillaryClinton is at the top, and has spent her whole career growing government, keeping the deck stacked. LibertyNotHillary SemST
NONE	Problem with libertarian is it's not even a decreed party. A house devided against itself, will not stand. think this news to SemST
FAVOR	HillaryClinton i am portuguese and i support your campaign! Best luck! The world need a person and a women like you! USA SemST
AGAINST	Hillary Clinton for Ambassador to ISIS. SemST
FAVOR	So when all you brave patriots stop Hillary, who you going to replace her with, Jeb Bush? LOL. losers SemST
AGAINST	I'm a woman. Can I be President? StopHillaryPAC SemST
FAVOR	This is not her first time at the rodeo!  HillaryClinton doesn't care who likes her or not This woman is on a mission Tough SemST
NONE	lajouetreine KarrattiPaul I'm not a Genitalian SemST
FAVOR	Wondering what the NEXT idiotic GOP smear against HillaryClinton will be. It's coming for sure. Just don't know details yet. SemST
FAVOR	Hillary is killing it so far on the trail. She's finally showing her personal side and I think it will benefit her profoundly. SemST
FAVOR	Do we call Bill Mr President...the first 1st man of Or mr president the 1st man? Lol imreadyforhillary SemST
AGAINST	.gailtalk trscoop Of course it was. She'll be handled every step of the way. They can't risk her unscripted. SemST
NONE	I just want my dog to stop eating the trash SemST
FAVOR	thehill evanperez are you kidding me...leave her to focus on issues...the next prez SemST
FAVOR	Congratulations HillaryClinton on entering the 2016 race for President! You have the support of Jews all over the world! SemST
FAVOR	HillaryClinton had more twitter followers then all four major Republican candidates (Bush, Rubio, Paul, Cruz) COMBINED. SemST
AGAINST	HillaryClinton has yet to release ClintonFdn donors... Public deserves disclosure. Scandals lies Clintons SemST
NONE	I want to go back in time to when men and women couldn't appear in the same yearbook as each other old school SemST
AGAINST	RT hale_razor:HillaryAccomplishments 1 of select few people fired 4 being 2 unethical 2 investigate Watergate SemST
AGAINST	How can she live with herself? Benghazi SemST
FAVOR	Marriage equality a constitutional right! Woot HRC2016 hillaryclinton readyforhillary vote hillaryfor2016 mpotus SemST
AGAINST	Hillary needs to go to a Sheetz gas station after 10 pm to see the real America. SemST
AGAINST	Hillary's campaign events are scripted dog & pony shows designed to shelter her from vetting b4 the coronation SemST
AGAINST	Yes, do tell US, name one of her accomplishments SemST
NONE	Apparently, putting cocaine in someone's butthole and then waiting for them to fart in your face is the wrong way to get high. SemST
AGAINST	Why is Hillary lying AGAIN about something news worthy? What's news worthy is if she doesn't lie about something SemST
AGAINST	Chipotle employees shouldn't complain Hillary left nothing in the tip jar. They're lucky she didn't dip in and help herself SemST
NONE	Bluesaloon Women are not a demographic, we are at least 50% of the nation. So a woman is no more symbolic than a man SemST
FAVOR	Sending u gay bear love from Chicago HillaryClinton HillaryMyPresident SemST
AGAINST	I love the smell of Hillary in the morning. It smells like Republican Victory. TedCruz2016 MarcoRubio SemST
NONE	ProBirdRights: I do a stump speech. It on the stump in the park. attendance mandatory. SemST
AGAINST	I'd still rather have Aaron Hernandez as President than Hillary.  SemST
NONE	JSavoly tedcruz Here ya go teddy boy..the world is getting HOTTER!! It's called GLOBAL WARMING!!  You're such a PUTZ!! SemST
NONE	JusticeWillett at least he has a platform SemST
AGAINST	Because I'm against common core, common crooks and common lies! NoHillary2016 StopHillaryClinton2016 WhyImNotVotingForHillary SemST
AGAINST	I would LMAO if some negro Democrat decides to run for President. HillaryClinton2016 HillarysBigAnnouncement HillarysDonors SemST
NONE	senna1 KirillWasHere how many men are getting their dicks sucked daily in congress, etc and no one gives a shit... SemST
AGAINST	You can't grow an economy from the bottom up. If she gets in, we're ALL in trouble SemST
AGAINST	HillaryClinton Stop raising taxes and let people keep more of their wages! LibertyNotHillary StandWithRand SemST
AGAINST	theblaze If you think Hillary isn't taking foreign money from Muslim brotherhood, you probably favor Obama as chief justice SemST
NONE	3. Fixing America's political system by getting rid of "unaccountable" money, and 4. Protecting the country. SemST
NONE	marijuana? marijuaage equality?? coincidence i think nOT!!11! SemST
AGAINST	KoriWasinger JButtawipo she also voted for the Iraq war and was responsible for gathering TheDemocrats votes to support it. SemST
NONE	Ding Dong ____ _____ __ ____ SemST
NONE	RT MaxTollensJr: One-percenter lied about being DeadBroke No more lies. NO to SemST
FAVOR	SLessard 100% agree. We need a woman like Hillary that can help this country get nursed back together! SemST
NONE	Much like you good people I forgot about my livetweetingbladerunner a couple weeks ago callback potroast cartography blue SemST
FAVOR	RandPaul HillaryClinton you could never dream to be as intelligent as she is SemST
AGAINST	If Hillary will lock Americans in classrooms during her campaign, she'll have no problems locking us all up whenever she wants. SemST
AGAINST	WhyImNotVotingForHillary she calls education a "non-family enterprise" ImCommitted2DefeatHillary Are you? ncpol GOP SemST
NONE	bristola48 AlciniaH Mahogany1992 stphil MzDivah67 Progress4Ohio graceslick77 AuntLulie deejayedee He cool, but NO SemST
FAVOR	Jeff_Nichols_82 HillaryforIA freedom_justice_equality_education for innovation and development to make happy_life in Utopia SemST
FAVOR	WhiteHouse BarackObama HillaryforIA BarackObama The whole world is supporting you. SemST
AGAINST	HillaryClinton Especially the paid union lackies who have no idea why their there. Propaganda machine spinning overtime. SemST
AGAINST	HillaryClinton The deceit hand? Thats a hand you know well. Right? SemST
AGAINST	AlyssSmithh There she is pant suite Hillary to hide those thighs HillarysDonors HillarysBigAnnouncement Benghazi Obama SemST
FAVOR	HillaryClinton will pick SenWarren for VP -Mark my tweet. UnstoppableTicket ElizabethWarren SemST
NONE	I'm going to apply for the Intern job SemST
NONE	TX_1 politicalmath Then you know how slippery snakes slither over shards of glass! SemST
AGAINST	46drhouse - Be interesting to see how Hillary defends same when questioned.  She will eventually have to answer questions. SemST
AGAINST	.HillaryClinton What's the ambient temperature in Hell today? Use that as a guide!  SemST
NONE	Gov. Chafee, why are you trying to make fetch happen. It's not going to happen. SemST
NONE	everydaysexism Only > ATikSalt < may say what sexism is. The rest of y'all shut up. SemST
NONE	tjhansen owillis serious, if trump runs you'll get a trump tattoo? Calling the Donald!! SemST
AGAINST	Everything abt HillaryClinton is BOGUS. Her issues, her history, her Iowa trip, her Twitter followers, her campaigning SemST
AGAINST	hillaryclinton is a champion of data removal. SemST
AGAINST	FoundersGirl Artist_Angie I want the first female to be competent. SemST
AGAINST	Saudi Arabia imprisons & flogs rape victims. "Women's champion" HillaryClinton has accepted MILLIONS $$$ from Saudi govt tcot SemST
AGAINST	How much was Monica getting paid when Bill's burrito squirted sauce all over her pretty blue dress? MauraReynolds politico SemST
NONE	Go watch America: Imagine A World Without Her. It'll make you realize how lucky we are to live in the best country on Earth SemST
AGAINST	I suspect Hillary's Scooby Doo tour is being used as a distraction from ServerGate et al.  NoObamaThirdTerm SemST
AGAINST	Breaking News: Hillary trades campaign bus for a broomstick. SemST
AGAINST	SoCaliMilitia1 CzarofFreedom  That God for global warming melting icebergs, never gets prosecuted for her crimes Liberals SemST
AGAINST	Nothing says "I'm Every Woman" like 10 Democrat staffers in a machine shop in Iowa right HillaryClinton? NotReadyForHillary SemST
AGAINST	I'd love for some reporter to ask, "Sec Clinton, will u b returning the White House china, if elected? Or did u already hock it? SemST
AGAINST	Very simple: the Clinton's are corrupt. SemST
NONE	.CaptYonah thehill Fine; unethical or illegal quid pro quo uranium deal works for me. SemST
AGAINST	ConservatveGurl those of us that also have a brain will be voting against Hillary... SemST
NONE	LifeNewsHQ tolerance at its best! Do as I say not as I do SemST
NONE	Chris_1791 TruthRevolt That doesn't leave much to talk about, then, does it? SemST
AGAINST	I'm thinking Hillary throws Chelsea under the bus to end Foundation firestorm.  ClintonCash TheGreaterGood election2016 SemST
AGAINST	FoxNews HappeningNow optics problem? No the real Hillary Clinton has stood up ClintonCash IaVotes SemST
AGAINST	HillaryClinton You can run but you ca't hide. ClintonFoundationscandal ClintonCash emailgate SemST
NONE	In case of Emergency, Push THIS BUTTON to scrub server..... SemST
FAVOR	Great to see my mentor RepSusanDavis at DCinSD. And she's right we have the most qualified candidate ever running for POTUS. SemST
NONE	BarackObama Love_peace and peaceful coexistence of all no to violence and terrorism SemST
FAVOR	readyforHRC HillaryClinton  Support encourage HillaryClinton president UnitedStates world is success of women in  world SemST
FAVOR	I bet Leslie Knope would be so happy about SemST
AGAINST	Also the $400,000 "speaking fees" Hillary took from Goldman Sachs for two "speeches." Joan_Vennochi SemST
FAVOR	readyforHRC   Support encourage HillaryClinton president UnitedStates world is success of women in  world SemST
FAVOR	NatureGuy101 MaryMorientes   Support encourage HillaryClinton president UnitedStates world is success of women in  world SemST
NONE	rebeccalipson  freedom_justice_equality_education for innovation and development to make happy_life i Utopia SemST
FAVOR	Before leaving my dad's I took the liberty in framing and put up the pictures he has meeting Hillary and Bill Clinton in '92 SemST
AGAINST	HillarysAccomplishments Being a total clusterfuck at anything she does. ReadyForHillary UniteBlue TopProg TPOT LibCrib SemST
AGAINST	RT .ChuckNellis  .HillaryClinton name change; it's no longer HRC it's now Hillary Uranium Benghazi Clinton. Take note. SemST
FAVOR	Hillary is on her way to Baltimore to be their champion. BaltimoreRiots SemST
AGAINST	take faith that almost every political entity around you, whether dissident or not, serves no good purpose Dempublicans SemST
AGAINST	You don't have to be a lawyer to know the Clintons violated ethics rules. SemST
FAVOR	Xxoax HillaryClinton MaryMorientes   BarackObama The whole world is supporting you. SemST
FAVOR	HillaryClinton freedom_justice_equality_education for innovation and development to make happy_life i Utopia SemST
AGAINST	So ClintonFdn, I believe Andrew Fastow beat you to the "we made mistakes, as many organizations of our size do" excuse SemST
NONE	I'm 19 years old and care about politics and elections.... I feel like I'm 67 years old SemST
AGAINST	HillaryClinton I notice that you didn't condemn the lawless actions of the rioters. SemST
AGAINST	Obama:  climate change or bush?  Who to blame...?  Hillary:  right wing conspiracy in Baltimore. BalitmoreRiots SemST
AGAINST	Wasn't the original ScoobyVan also full of unemployed hippies & a stupid dog, who lived to meddle in other people's business? SemST
AGAINST	In 2013 Clinton Foundation collected $140M and spent $9M on direct aid, in 2014 they raised $500M and spent $100M on direct aid!  SemST
AGAINST	Students of BaylorUniversity are y'all ready for MarcoRubio in 2016 BU Baylor Bears BaylorBears NewAmericanCentury GOP SemST
AGAINST	ChelseaClinton HRC Do you stand for BillClinton assaulting teen girls too? ReadyForHillary HillaryClinton Clinton2016 SemST
NONE	Hey TexasState Bobcats I hope y'all are ready for MarcoRubio 2016 TexasStateUniversity NewAmericanCentury Texas TCOT SemST
AGAINST	The only thing that I would pay money for is to hear Hillary Clinton say "I QUIT and I'm GUILTY" that would be worth millions. SemST
AGAINST	Hillary Clinton keeps sending me emails, and when I try to unsubscribe, I get an error message. THIS IS CANCER SemST
FAVOR	HillaryClinton BarackObama The whole world is supporting you. SemST
AGAINST	Denial. It works for Hillary, why not the Mayor of Baltimore. DemocratLiesMatter SemST
NONE	Join the Twitter movement! RT or fav for a mention or follow back! SemST
NONE	Wow RT "greta Baltimore Orioles to play tomorrow but no public allowed" BaltimoreRiots FreddieGray ThanksObama WakeUpAmerica SemST
FAVOR	Spoke to HillaryClinton today in NYC. Wow! So smart and impressive!!! SemST
AGAINST	HillaryClinton Says the millionaire politician who accepts $$$ from countries that execute gays. Hypocrite WakeUpAmerica SemST
AGAINST	BernieSanders is running for president, don't the democrats already have one really old guy running?? SemST
FAVOR	297 days until I can register to vote!!1 year 193 days until Election Day RockTheVote democrats everyvotecounts SemST
NONE	THEYRE NOT "THUGS"  YOU TEAPARTY RACISTS THEY ARE "COMMUNITY REORGANIZERS" !! TCOT baltimoreriots SemST
AGAINST	Hillary will get past the primaries cause Dem voters don't think she can do any wrong. But she will be beat in November SemST
FAVOR	HillaryClinton loving the new colorful profile pic! loveit SemST
AGAINST	HillaryClinton Did your rich Saudi donors, who execute gays, join the team? Hypocrite WakeUpAmerica  SemST
NONE	Also, I finally moved to FDCITY today! Will be much easier to get around going forward! moving SemST
FAVOR	I think I am going to vote for Monica Lewinsky's Ex- boyfriends Wife SemST
AGAINST	And the working american tax payer keeps on paying for the unethical liberals who want to destroy this great country of ours. SemST
FAVOR	Hillary Clinton vs. Bernie Sanders primary will be like the brawl over applesauce at the retirement home. ReadyForHillary SemST
FAVOR	Too many women in too many countries speak the same language  of silence. HILLARY CLINTON HillaryCliton Hillary4Women SemST
FAVOR	Too many women in too many countries speak the same language  of silence. HILLARY CLINTON HillaryCliton Hillary4Women SemST
FAVOR	Always aim high,work hard, & care deeply about what U believe in...when U stumble, keep faith. HILLARY CLINTON Faith4Hillary SemST
FAVOR	It's time that we move from good words 2 good works, from sound bites 2 sound solutions HILLARY CLINTON HillaryClinton SemST
FAVOR	TheDemocrats DNCWomen I'm down to help for 2016 election. SemST
NONE	How many poor kids could $2.5 billion feed? SemST
AGAINST	Norsu2 secret Clinton docs? gee WHAT a surprise! SemST
NONE	Too far realDonaldTrump. That's just too fucking far. BaltimoreUprising Obama SemST
AGAINST	Hillary Clinton makes Nixon look like an amateur schoolboy ClintonCash ClintonFoundation Clinton SemST
FAVOR	thehill MamaHillary is making the case here & just exclusively how to deal with complex social issues. cnn bbc Mamaclinton SemST
FAVOR	.GoldenTalon johnmanko CassandraRules  On the contrary, I am happy she will win. I enjoy seeing Liberal cities burn GO SemST
AGAINST	Whoever is up now let it be known that support for MarcoRubio never sleeps! We promote the NewAmericanCentury 24/7 Texas TX SemST
NONE	Slate This is why Rand Paul will never be POTUS. BaltimoreUprising SemST
AGAINST	_Poli_Ana_ No, she's got the BlackLivesMatter vote w/o even talking to them.  Most blacks are brainwashed by TheDemocrats SemST
FAVOR	If you're not watching HillaryClinton's speech right now you're missing her drop tons of wisdom. SemST
AGAINST	A proper introduction of Hillary Clinton should begin with five words: Will the defendant please rise WhyImNotVotingForHillary SemST
NONE	YES! Community policing is answer to rebuilding trust in our communities between law enforcement and the people they serve. SemST
AGAINST	Don't get it twisted. A major presidential candidate using her first policy speech to talk about mass incarcertaion. SemST
AGAINST	'Hillary-speak' campaign rhetoric is going to be the death of me. jmarkwalk SemST
AGAINST	HillaryClinton  A Rainbow logo? Did u know only 4% of the US is gay? (2010 Census). WhyImNotVotingForHillary SemST
FAVOR	Saw a bit of HillaryClinton 's speech & I was proud to hear her plans for policy improvements in our justice system. Thanks! SemST
NONE	Anomaly100 I'm confident that will piss off a few white Anglo-Saxon Protestants!  Keep talking Jeb. SemST
FAVOR	Upworthy HillaryClinton It should be illegal for an employer to discriminate against their workers. EqualityForAll SemST
NONE	A body-cam on every cop, private servers for Cabinet Secretaries. SemST
AGAINST	JohnKerry BALWANIKAPIL HillaryClinton StateDept tomperriello  I didn't realize PayToPlayDiplomacy was such a big hit!  SemST
AGAINST	VRWCTexan WOW, she's one to talk SemST
NONE	RT FutureTXLeader: Are y'all at UTEP ready for MarcoRubio in 2016 Miners LadyMiners UniversityOfTexasElPaso Rubio New... SemST
AGAINST	RT FutureTXLeader: Are y'all TexasTech RedRaiders ready for MarcoRubio in 2016 TTU TexasTechUniversity Rubio Texas N... SemST
AGAINST	RT FutureTXLeader: Who in CorpusChristi is ready for MarcoRubio in 2016 Hooks CC Texas TX 361 KeepTexasRed GOP Tea... SemST
FAVOR	I've been doing my reading and I do have to to say, I'm wildly impressed by Hillary Clinton SemST
NONE	zacharyebell Thank you 4the follow. God bless you and those you love! God bless America, may she always be the land of the free! SemST
NONE	BarackObama thanks for selling out all the workers who voted for you for pushing FastTrack sellout SemST
AGAINST	As late as 2013 HillaryClinton opposed marriage equality. SemST
FAVOR	thehill all the more reason to vote Democrat in 2016. ACAworks GetMoneyOut RestoreTheVRA Bernie2016 waronpoverty SemST
AGAINST	RT Glenn_Hegar: Follow if you stand against Hillary in 2016! SemST
NONE	I can vote in 2016 after all ayyyyyyyyyy SemST
AGAINST	jstines3 WoodenThreat Open mouth, reveal heart-Margaret Sanger,architect for black genocide larryelder TheFive HillarySoWhite SemST
NONE	I'm still so happy my voter ID came in the mail  SemST
NONE	Great convo last night w/ schoolbus_soul & zaksteib Great connections in Waverly & on my turf! FellowsIA CommitToCaucus SemST
AGAINST	HillaryClinton is hiring Monsanto lawyers to help her become President. The next president shouldn't be aided by Monsanto SemST
NONE	marymorientes Love it. It happens in my world too! SemST
NONE	Froquesha u get me that book yea?  SemST
AGAINST	RT putterrod: IngrahamAngle Republicans everywhere are looking for someone to lead. A leader not a liar. SemST
FAVOR	This weekend is the Hillary For America Weekend of Action & I hope you'll participate. -L California SemST
AGAINST	It's good that after 30 years in public service (with zero accomplishments), Hillary is finally ready 2 serve the public! Lolol SemST
NONE	We're out here in G-town, and where are you  sctweets SemST
AGAINST	jstines3 bcwilliams92 Stephens begged for his life & HillaryClinton Madam_President is begging for ur vote NotAChanceInHell SemST
NONE	RT spanglishpop: Thanks GOP keep sending in the clowns! It makes this upcoming election very entertaining latinos2016 Rock... SemST
NONE	ThingsYouDontSayAsAPolitician  I don't feel no ways tired. Go to the back of the line. What difference does it make?  SemST
FAVOR	Laughing at the Republican Party. The BEST they can offer is DonaldTrump and JebBush?   HillaryClinton has got this! SemST
NONE	Temp15544 icedecay BrooklynJuggler classic_mouth In this context, to all practical extents and purposes? It means SemST
FAVOR	Just met an awesome supporter on the CX bus! He said "Hillary is one strong woman and we need that for our country." FellowsNV SemST
AGAINST	Hilary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal. SemST
AGAINST	Hillary has lied, deleted Benghazi emails, and betrayed the trust of Americans scandal after scandal. SemST
NONE	In high school, decided to be the first woman president in 2016, but I never got into politics & don't have Trump's money. SemST
NONE	Thanks izzybugatti for participating! WE are lucky to have YOU here in Iowa. FellowsIA SemST
NONE	jilevin strumpetcity Yes. You make me proud. Socialism is the answer, which leads to communism. We will succeed. SemST
NONE	GOP Obamacare stays and the Confederate flag goes. You guys have had quite the shitty week, haven't you? SemST
NONE	Come visit me at the Jefferson County Fair! Representative Curt Hanson will tell a joke and I'll tell a story about why vote SemST
FAVOR	I'm proud to announce I support HillaryClinton!!!! SemST
NONE	Excited to be working with some great FellowsSC this summer. They're some pretty great people that are fired up for LetsGo SemST
NONE	Federal gov't social spending 61% of budget. Federal gov't defense spending 22% of budget. Something is definitely wrong here. SemST
FAVOR	HillaryClinton literally the greatest video I have ever seen. SemST
NONE	washingtonpost sir sory mae bi bharat mool ka hu par my hart is for democraet and SemST
FAVOR	ChelseaClinton's mom has got it going on! POTUS ChelseasMom SemST
AGAINST	America needs a champion!-H  No thanks,HillaryClinton we don't need a champion, especially if you're that "champion".   SemST
AGAINST	Would that the rest of us were able to escape from Clinton as well ClintonCorrectional HillaryClinton escapeClinton SemST
FAVOR	HillaryClinton Awesome video!  Vote for Chelsea's mom. SemST
AGAINST	Hilliary: I provided all work related emails  State Dept: There are work related emails you didn't provide  Hillaredacted SemST
AGAINST	CarlyFiorina on hannity, very impressive. A serious presidential candidate vs. A bad actress. SemST
AGAINST	LeighStorz jstines3 Totally agree, Hillary is an incompetent scandal ridden phony. SemST
NONE	This Friday is, officially, Political Incorrectness day! All day say whatever you want and offend everyone! Yay! tcot 2A PC  SemST
AGAINST	FoxNews report shows U.S. State Department cannot locate 15 of Hillary Clinton's Private Emails.  Not so fast, Hillary! SemST
AGAINST	Callisto1947 texasman2008 AmyMek Hillary's new Campaign Slogan:  HILLARY - NOTHING TO HIDE EXCEPT THE TRUTH !!!  TCOT CCOT SemST
FAVOR	I really need my new HillaryClinton shirt to come in. Meeting some people at the brewery same night as a Bernie meetup there. SemST
NONE	Donald Trump is a joke. His a simpleminded idiot, and I have nothing else to say about him. He can go FUCK him self. SemST
FAVOR	HillaryClinton ca_hillary stand on the right side SemST
AGAINST	HillaryClinton said AllLivesMatter just like she said marriage was between a man and a woman! Giver her a few more years SemST
AGAINST	HillaryDebateQuestion So you profess admiration for MargaretSanger who wanted to rid the country of "negros". Explain please? SemST
FAVOR	RT mcirelli92: Hillary for the win SemST
NONE	Y did randpaul take donations from a WhiteSupremacy group after shaking hands with black leaders? BlackLivesMatter gop SemST
AGAINST	clairecmc RosieGray is that why she and ClintonGlobal take that Saudi money? SaudiCables SaudiCables clinton2016 SemST
AGAINST	petefrt this is how GOP needs to be handling campaign not attacking each other but showing all hillary fails. uniteright SemST
AGAINST	Molls30 HillaryClinton I love it! One of our biggest donors is Saudi Arabia. They support women's rights completely! GoTeam SemST
AGAINST	HillaryClinton Did you feel same about BillClinton's latest assault of teen girl? hypocrite HillaryClinton Hillary_2016_NO SemST
FAVOR	My vote is definitely for Hillary. I don't want Bush's dumb ass. Don't want Trump either.  HillaryClinton SemST
NONE	I'm in a better place now that I got some coffee, now time to grow these grassroots   sctweets SemST
AGAINST	SCOTUS_Scalia Right. Words no longer have meaning. Like Clintons,"It depends on what the meaning of 'is' is." More if we don't SemST
FAVOR	tedcruz won't be there. I'm supporting HillaryClinton for President. lgbtrights ACAWorks SemST
