ID	Target	Tweet	Stance
66	Legalization of Abortion	RT @TheKeyisPrayer: "No law can give me the right to do what is wrong."  -Abraham Lincoln #SemST	AGAINST
67	Legalization of Abortion	We live in a world where people care more about religious rights than consent & reproductive rights.... #SemST	FAVOR
68	Legalization of Abortion	we remind ourselves that love means to be willing to give until it hurts - Mother Teresa #SemST	AGAINST
69	Legalization of Abortion	Life, what a beautiful choice. Adoption. Not abortion. #SemST	AGAINST
70	Legalization of Abortion	My teacher today basically said that embroyo's are nothing but skin + blood & that abortion was fine. #smartlady #SemST	FAVOR
71	Legalization of Abortion	@ShowTruth Keeping pregnant people safe is a great reason for abortion, though. #SemST	FAVOR
72	Legalization of Abortion	@rosaryrevival When we #PrayTheRosary lest we forget to #Prayforpersecutedchurch #PrayForIsrael #PrayForUkraine #SemST	NONE
73	Legalization of Abortion	#cogar @RefCom_ie get more #questions on #d #ballott! #ireland's #dail is stuck. We'll #help! #drugswar #landwar #etc. #tanks #SemST	NONE
74	Legalization of Abortion	Yep. RT: "Defunding PP won't mean fewer abortions. It will mean more dead women. #prochoice" #1in3 #SemST	FAVOR
75	Legalization of Abortion	@mrprolife You would force a woman to risk her health, sanity, and life, to continue a doomed pregnancy. Against her will. No. #SemST	FAVOR
76	Legalization of Abortion	Whether someone wants to have children or not should be completely up to the person carrying that pregnancy... #SemST	FAVOR
77	Legalization of Abortion	I will agree to gay marriage if you agree to pro-life and then adopt babies that would have been aborted. #SemST	AGAINST
78	Legalization of Abortion	On Manila TV,Monday: #Pacquiao appeals to @IndonesiaPresident -don't execute #MaryJaneVeloso #deathRow #drugTrafficking #Christian #SemST	NONE
79	Legalization of Abortion	Too far? Sorry so is he #SemST	NONE
80	Legalization of Abortion	I watched #AfterTiller and it gave me a whole new perspective on a woman's right to choose. #womensRights #SemST	FAVOR
81	Legalization of Abortion	@explicit0ceans I don't either. Why would you want to make people have kids? Esp when they're not prepared? Makes no sense. #SemST	FAVOR
82	Legalization of Abortion	True progressives work toward greater inclusion and protections for the marginalized. Standing up for the unborn is progressive! #SemST	AGAINST
83	Legalization of Abortion	MT @ProLifePolitics- Senate vote on SC Pain-Capable Unborn Child Protection Act could come as early as Wed. Contact your senators! #SemST	AGAINST
84	Legalization of Abortion	Equal pay for equal work? YES. Freedom from the fear of rape and sexual objectification? YES. The 'right' to abort? NO. #SemST	AGAINST
85	Legalization of Abortion	@explicit0ceans whoa whoa whoa. I don't care about you having sex, but when you're pregnant, there's another life involved. #SemST	AGAINST
86	Legalization of Abortion	Today I am grateful to have the right to control my body without govt influence. #antichoice leaders want to stop this. #abvote #SemST	FAVOR
87	Legalization of Abortion	Sadly, most health insurance plans don't cover abortions, so the price can be quite high.... #SemST	FAVOR
88	Legalization of Abortion	@Britt_Ghiroli @mboyle1 But the Mayor of Baltimore said to give rioters to rioters. #BlackLivesMatter #Except2Democrats #Sanger #SemST	NONE
89	Legalization of Abortion	It is so much fun having younger friends who are expecting babies. #beentheredonethat #chooselife #SemST	AGAINST
90	Legalization of Abortion	Why is it illegal to kill an unhatched eagle egg but its legal to kill an unborn human baby?isright #SemST	AGAINST
91	Legalization of Abortion	I refuse to let people like you shame and insult women for accessing healthcare. Sorry. Just no.  #SemST	FAVOR
92	Legalization of Abortion	pro-life? no you're more pro-birth then after that the baby can support itself!!! #makesnosense #prowomen #SemST	FAVOR
93	Legalization of Abortion	U know what isn't funny? Male politicians deciding what women should do with their body's. #SemST	FAVOR
94	Legalization of Abortion	I was born 4 months premature... I'm perfectly fine, somehow killing babies is legal in this country. #SemST	AGAINST
95	Legalization of Abortion	You can't kill someone cause you claim you made a mistake. If true nobody would go to jail for killing their spouse. #SemST	AGAINST
96	Legalization of Abortion	@Corey_Frizzell @PEILiberalParty and most Islanders have different definitions of "timely access". #irony #peipoli #peivotes #SemST	NONE
97	Legalization of Abortion	@Docjp Pressure? It's their job and they are failing miserably at keeping the promises they made.  #GOP #PJNET #Amnesty #Obamacare #SemST	NONE
98	Legalization of Abortion	I love how #liberals only accuse #conservatives of war on women when we don't want to fund #SemST	AGAINST
99	Legalization of Abortion	Help your friend figure out how they're going to get there and where to stay if they need to spend the night #SemST	NONE
100	Legalization of Abortion	@JimDDaniels1 Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on #SemST	AGAINST
